"Date_collected","Site","N","Bed_height_cm","sd","se","ci"
2023-06-12,"ASHC",6,57.25,7.38748942469632,3.01592992845214,7.752694691631
2023-06-14,"FENC",9,87.7777777777778,22.8884674988179,7.62948916627264,17.5936335669201
2023-10-03,"ASHC",12,NA,NA,NA,NA
2023-10-05,"FENC",12,NA,NA,NA,NA
2023-10-16,"GOLD",12,NA,NA,NA,NA
2023-10-17,"LAUR",12,NA,NA,NA,NA
2024-05-01,"ASHC",4,44.76625,6.23241175228338,3.11620587614169,9.9171578770305
2024-05-13,"FENC",4,64.896,14.8240173592271,7.41200867961355,23.5883196371669
2024-08-14,"GOLD",12,NA,NA,NA,NA
2024-09-23,"ASHC",4,NA,NA,NA,NA
2024-09-25,"FENC",4,NA,NA,NA,NA
2025-05-01,"ASHC",4,48.26,5.61156543815241,2.80578271907621,8.92925284775295
