Field ID,Date_collected,Site,State,Quadrat,Count,Height_live,Height_box,Height_gaper
0925ASHC,9/11/2025,ASHC,CT,1,,84.42,,
0925ASHC,9/11/2025,ASHC,CT,1,2,65.25,,
0925ASHC,9/11/2025,ASHC,CT,1,3,,80.84,
0925ASHC,9/11/2025,ASHC,CT,1,4,66.43,,
0925ASHC,9/11/2025,ASHC,CT,1,5,53.39,,
0925ASHC,9/11/2025,ASHC,CT,1,6,,100.35,
0925ASHC,9/11/2025,ASHC,CT,1,7,60,,
0925ASHC,9/11/2025,ASHC,CT,1,8,84.61,,
0925ASHC,9/11/2025,ASHC,CT,1,9,110.45,,
0925ASHC,9/11/2025,ASHC,CT,1,10,106.72,,
0925ASHC,9/11/2025,ASHC,CT,1,11,56.91,,
0925ASHC,9/11/2025,ASHC,CT,1,12,33.05,,
0925ASHC,9/11/2025,ASHC,CT,1,13,44.02,,
0925ASHC,9/11/2025,ASHC,CT,1,14,,89.91,
0925ASHC,9/11/2025,ASHC,CT,1,15,,110.3,
0925ASHC,9/11/2025,ASHC,CT,1,16,73.08,,
0925ASHC,9/11/2025,ASHC,CT,1,17,50.55,,
0925ASHC,9/11/2025,ASHC,CT,1,18,,101.1,
0925ASHC,9/11/2025,ASHC,CT,1,19,,84.73,
0925ASHC,9/11/2025,ASHC,CT,1,20,,88.83,
0925ASHC,9/11/2025,ASHC,CT,1,21,72.14,,
0925ASHC,9/11/2025,ASHC,CT,1,22,124.8,,
0925ASHC,9/11/2025,ASHC,CT,1,23,61.88,,
0925ASHC,9/11/2025,ASHC,CT,1,24,129.8,,
0925ASHC,9/11/2025,ASHC,CT,1,25,116.84,,
0925ASHC,9/11/2025,ASHC,CT,1,26,,101.22,
0925ASHC,9/11/2025,ASHC,CT,1,27,75.54,,
0925ASHC,9/11/2025,ASHC,CT,1,28,33.44,,
0925ASHC,9/11/2025,ASHC,CT,1,29,72.45,,
0925ASHC,9/11/2025,ASHC,CT,1,30,79.27,,
0925ASHC,9/11/2025,ASHC,CT,1,31,61.47,,
0925ASHC,9/11/2025,ASHC,CT,1,32,93,,
