date_deployed,date_collected,Site,Replicate,Shell,Side,Count_1,Count_2
2025-08-18,2025-12-10,GOLD,A,1,top,0,0
2025-08-19,2025-12-10,GOLD,A,1,bottom,0,0
2025-08-20,2025-12-10,GOLD,A,2,top,0,0
2025-08-21,2025-12-10,GOLD,A,2,bottom,0,0
2025-08-22,2025-12-10,GOLD,A,3,top,0,0
2025-08-23,2025-12-10,GOLD,A,3,bottom,0,0
2025-08-24,2025-12-10,GOLD,A,4,top,0,0
2025-08-25,2025-12-10,GOLD,A,4,bottom,0,0
2025-08-26,2025-12-10,GOLD,A,5,top,0,0
2025-08-27,2025-12-10,GOLD,A,5,bottom,0,0
2025-08-28,2025-12-10,GOLD,A,6,top,0,0
2025-08-29,2025-12-10,GOLD,A,6,bottom,1,1
2025-08-30,2025-12-10,GOLD,B,1,top,1,1
2025-08-31,2025-12-10,GOLD,B,1,bottom,0,0
2025-09-01,2025-12-10,GOLD,B,2,top,0,0
2025-09-02,2025-12-10,GOLD,B,2,bottom,0,0
2025-09-03,2025-12-10,GOLD,B,3,top,1,1
2025-09-04,2025-12-10,GOLD,B,3,bottom,0,0
2025-09-05,2025-12-10,GOLD,B,4,top,0,0
2025-09-06,2025-12-10,GOLD,B,4,bottom,0,0
2025-09-07,2025-12-10,GOLD,B,5,top,0,0
2025-09-08,2025-12-10,GOLD,B,5,bottom,0,0
2025-09-09,2025-12-10,GOLD,B,6,top,0,0
2025-09-10,2025-12-10,GOLD,B,6,bottom,0,0
2025-09-11,2025-12-10,GOLD,C,1,top,,
2025-09-12,2025-12-10,GOLD,C,1,bottom,,
2025-09-13,2025-12-10,GOLD,C,2,top,,
2025-09-14,2025-12-10,GOLD,C,2,bottom,,
2025-09-15,2025-12-10,GOLD,C,3,top,,
2025-09-16,2025-12-10,GOLD,C,3,bottom,,
2025-09-17,2025-12-10,GOLD,C,4,top,,
2025-09-18,2025-12-10,GOLD,C,4,bottom,,
2025-09-19,2025-12-10,GOLD,C,5,top,,
2025-09-20,2025-12-10,GOLD,C,5,bottom,,
2025-09-21,2025-12-10,GOLD,C,6,top,,
2025-09-22,2025-12-10,GOLD,C,6,bottom,,
2025-09-23,2025-12-10,GOLD,D,1,top,,
2025-09-24,2025-12-10,GOLD,D,1,bottom,,
2025-09-25,2025-12-10,GOLD,D,2,top,,
2025-09-26,2025-12-10,GOLD,D,2,bottom,,
2025-09-27,2025-12-10,GOLD,D,3,top,,
2025-09-28,2025-12-10,GOLD,D,3,bottom,,
2025-09-29,2025-12-10,GOLD,D,4,top,,
2025-09-30,2025-12-10,GOLD,D,4,bottom,,
2025-10-01,2025-12-10,GOLD,D,5,top,,
2025-10-02,2025-12-10,GOLD,D,5,bottom,,
2025-10-03,2025-12-10,GOLD,D,6,top,,
2025-10-04,2025-12-10,GOLD,D,6,bottom,,
2025-10-05,2025-12-10,GOLD,E,1,top,,
2025-10-06,2025-12-10,GOLD,E,1,bottom,,
2025-10-07,2025-12-10,GOLD,E,2,top,,
2025-10-08,2025-12-10,GOLD,E,2,bottom,,
2025-10-09,2025-12-10,GOLD,E,3,top,,
2025-10-10,2025-12-10,GOLD,E,3,bottom,,
2025-10-11,2025-12-10,GOLD,E,4,top,,
2025-10-12,2025-12-10,GOLD,E,4,bottom,,
2025-10-13,2025-12-10,GOLD,E,5,top,,
2025-10-14,2025-12-10,GOLD,E,5,bottom,,
2025-10-15,2025-12-10,GOLD,E,6,top,,
2025-10-16,2025-12-10,GOLD,E,6,bottom,,
2025-10-17,2025-12-10,GOLD,F,1,top,,
2025-10-18,2025-12-10,GOLD,F,1,bottom,,
2025-10-19,2025-12-10,GOLD,F,2,top,,
2025-10-20,2025-12-10,GOLD,F,2,bottom,,
2025-10-21,2025-12-10,GOLD,F,3,top,,
2025-10-22,2025-12-10,GOLD,F,3,bottom,,
2025-10-23,2025-12-10,GOLD,F,4,top,,
2025-10-24,2025-12-10,GOLD,F,4,bottom,,
2025-10-25,2025-12-10,GOLD,F,5,top,,
2025-10-26,2025-12-10,GOLD,F,5,bottom,,
2025-10-27,2025-12-10,GOLD,F,6,top,,
2025-10-28,2025-12-10,GOLD,F,6,bottom,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
