Run ID,Test Date,Assay Name,Sample Name,Original Sample Conc.,Original sample conc. units,Qubit Tube Conc.,Qubit tube conc. units,Sample Volume (uL),Dilution Factor,Extended Low Range,Core Range,Extended High Range,Excitation,Std 1 RFU,Std 2 RFU,Std 3 RFU,Sample RFU,Last Read Standards,Reagent Lot#,Plate Barcode,Well,Sample ID,Tags,Calibrated Tubes,Software Version,Selected Samples
170725-164950,17/07/2025 04:49:57 PM,dsDNA BR,0624ASHC_01,42.4,ng/uL,1.06,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,15.42298424,904.8554164,,235,17/07/2025 03:58:52 PM,,,,,,8,1.9.0,8
170725-164950,17/07/2025 04:49:57 PM,dsDNA BR,0624ASHC_02,22.1,ng/uL,0.553,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,15.74869451,943.2581517,,138,17/07/2025 03:58:52 PM,,,,,,8,1.9.0,8
170725-164950,17/07/2025 04:49:57 PM,dsDNA BR,0624ASHC_03,45.6,ng/uL,1.14,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,15.00076723,881.2512257,,244,17/07/2025 03:58:52 PM,,,,,,8,1.9.0,8
170725-164950,17/07/2025 04:49:57 PM,dsDNA BR,0624ASHC_04,58,ng/uL,1.45,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,14.68108863,910.3363588,,313,17/07/2025 03:58:52 PM,,,,,,8,1.9.0,8
170725-164950,17/07/2025 04:49:57 PM,dsDNA BR,0624ASHC_05,28.7,ng/uL,0.718,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,14.72331034,907.5657725,,166,17/07/2025 03:58:52 PM,,,,,,8,1.9.0,8
170725-164950,17/07/2025 04:49:57 PM,dsDNA BR,0624ASHC_06,64.4,ng/uL,1.61,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,13.2455508,796.4712849,,300,17/07/2025 03:58:52 PM,,,,,,8,1.9.0,8
170725-164950,17/07/2025 04:49:57 PM,dsDNA BR,0624ASHC_07,61.6,ng/uL,1.54,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,13.64967279,804.7107677,,292,17/07/2025 03:58:52 PM,,,,,,8,1.9.0,8
170725-164950,17/07/2025 04:49:57 PM,dsDNA BR,0624ASHC_08,49.2,ng/uL,1.23,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,13.08872734,777.2036641,,230,17/07/2025 03:58:52 PM,,,,,,8,1.9.0,8
170725-164950,17/07/2025 04:51:21 PM,dsDNA BR,0624ASHC_09,61.2,ng/uL,1.53,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,15.42298424,904.8554164,,327,17/07/2025 03:58:52 PM,,,,,,8,1.9.0,8
170725-164950,17/07/2025 04:51:21 PM,dsDNA BR,0624ASHC_10,68.4,ng/uL,1.71,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,15.74869451,943.2581517,,375,17/07/2025 03:58:52 PM,,,,,,8,1.9.0,8
