Run ID,Test Date,Assay Name,Sample Name,Original Sample Conc.,Original sample conc. units,Qubit Tube Conc.,Qubit tube conc. units,Sample Volume (uL),Dilution Factor,Extended Low Range,Core Range,Extended High Range,Excitation,Std 1 RFU,Std 2 RFU,Std 3 RFU,Sample RFU,Last Read Standards,Reagent Lot#,Plate Barcode,Well,Sample ID,Tags,Calibrated Tubes,Software Version,Selected Samples
270826-190030,27/08/2026 07:00:37 PM,dsDNA BR,0626ASHC_01,19.1,ng/uL,0.477,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,16.08676266,1076.684492,,137,27/08/2026 06:17:11 PM,,,,,,8,1.9.0,8
270826-190030,27/08/2026 07:00:37 PM,dsDNA BR,0626ASHC_02,51.6,ng/uL,1.29,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,15.86113331,1135.133968,,348,27/08/2026 06:17:11 PM,,,,,,8,1.9.0,8
270826-190030,27/08/2026 07:00:37 PM,dsDNA BR,0626ASHC_03,56.4,ng/uL,1.41,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,14.40978778,1079.051757,,358,27/08/2026 06:17:11 PM,,,,,,8,1.9.0,8
270826-190030,27/08/2026 07:00:37 PM,dsDNA BR,0626ASHC_04,56.4,ng/uL,1.41,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,14.93422356,1067.044599,,354,27/08/2026 06:17:11 PM,,,,,,8,1.9.0,8
270826-190030,27/08/2026 07:00:37 PM,dsDNA BR,0626ASHC_05,76.8,ng/uL,1.92,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,15.098872,1073.438655,,471,27/08/2026 06:17:11 PM,,,,,,8,1.9.0,8
270826-190030,27/08/2026 07:00:37 PM,dsDNA BR,0626ASHC_06,35.3,ng/uL,0.883,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,13.06210978,946.1005536,,206,27/08/2026 06:17:11 PM,,,,,,8,1.9.0,8
270826-190030,27/08/2026 07:00:37 PM,dsDNA BR,0626ASHC_07,25.1,ng/uL,0.627,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,13.48897612,976.3563939,,157,27/08/2026 06:17:11 PM,,,,,,8,1.9.0,8
270826-190030,27/08/2026 07:00:37 PM,dsDNA BR,0626ASHC_08,44,ng/uL,1.1,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,13.34872004,934.9963734,,249,27/08/2026 06:17:11 PM,,,,,,8,1.9.0,8
270826-190030,27/08/2026 07:01:30 PM,dsDNA BR,0626ASHC_09,69.2,ng/uL,1.73,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,16.08676266,1076.684492,,432,27/08/2026 06:17:11 PM,,,,,,8,1.9.0,8
270826-190030,27/08/2026 07:01:30 PM,dsDNA BR,0626ASHC_10,19.9,ng/uL,0.498,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,15.86113331,1135.133968,,149,27/08/2026 06:17:11 PM,,,,,,8,1.9.0,8
270826-190030,27/08/2026 07:05:29 PM,dsDNA BR,0626ASHC_11,290,ng/uL,7.24,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,13.48897612,976.3563939,,1310,27/08/2026 06:17:11 PM,,,,,,8,1.9.0,8
270826-190030,27/08/2026 07:01:30 PM,dsDNA BR,0626ASHC_12,27,ng/uL,0.675,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,14.93422356,1067.044599,,183,27/08/2026 06:17:11 PM,,,,,,8,1.9.0,8
270826-190030,27/08/2026 07:01:30 PM,dsDNA BR,0626ASHC_13,50.4,ng/uL,1.26,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,15.098872,1073.438655,,322,27/08/2026 06:17:11 PM,,,,,,8,1.9.0,8
270826-190030,27/08/2026 07:01:30 PM,dsDNA BR,0626ASHC_14,58,ng/uL,1.45,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,13.06210978,946.1005536,,322,27/08/2026 06:17:11 PM,,,,,,8,1.9.0,8
270826-190030,27/08/2026 07:01:30 PM,dsDNA BR,0626ASHC_15,30,ng/uL,0.751,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,13.48897612,976.3563939,,184,27/08/2026 06:17:11 PM,,,,,,8,1.9.0,8
270826-190030,27/08/2026 07:01:30 PM,dsDNA BR,0626ASHC_16,23.8,ng/uL,0.594,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,13.34872004,934.9963734,,143,27/08/2026 06:17:11 PM,,,,,,8,1.9.0,8
270826-190030,27/08/2026 07:04:36 PM,dsDNA BR,0626ASHC_17,46,ng/uL,1.15,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,16.08676266,1076.684492,,300,27/08/2026 06:17:11 PM,,,,,,8,1.9.0,8
270826-190030,27/08/2026 07:04:36 PM,dsDNA BR,0626ASHC_18,67.6,ng/uL,1.69,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,15.86113331,1135.133968,,445,27/08/2026 06:17:11 PM,,,,,,8,1.9.0,8
270826-190030,27/08/2026 07:04:36 PM,dsDNA BR,0626ASHC_19,57.6,ng/uL,1.44,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,14.40978778,1079.051757,,366,27/08/2026 06:17:11 PM,,,,,,8,1.9.0,8
270826-190030,27/08/2026 07:04:36 PM,dsDNA BR,0626ASHC_20,123,ng/uL,3.08,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,14.93422356,1067.044599,,712,27/08/2026 06:17:11 PM,,,,,,8,1.9.0,8
270826-190030,27/08/2026 07:04:36 PM,dsDNA BR,0626ASHC_21,52,ng/uL,1.3,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,15.098872,1073.438655,,332,27/08/2026 06:17:11 PM,,,,,,8,1.9.0,8
270826-190030,27/08/2026 07:04:36 PM,dsDNA BR,0626ASHC_22,75.2,ng/uL,1.88,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,13.06210978,946.1005536,,408,27/08/2026 06:17:11 PM,,,,,,8,1.9.0,8
270826-190030,27/08/2026 07:04:36 PM,dsDNA BR,0626ASHC_23,138,ng/uL,3.46,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,13.48897612,976.3563939,,719,27/08/2026 06:17:11 PM,,,,,,8,1.9.0,8
270826-190030,27/08/2026 07:04:36 PM,dsDNA BR,0626ASHC_24,45.6,ng/uL,1.14,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,13.34872004,934.9963734,,256,27/08/2026 06:17:11 PM,,,,,,8,1.9.0,8
270826-190030,27/08/2026 07:05:29 PM,dsDNA BR,0626ASHC_25,33.7,ng/uL,0.842,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,16.08676266,1076.684492,,226,27/08/2026 06:17:11 PM,,,,,,8,1.9.0,8
270826-190030,27/08/2026 07:05:29 PM,dsDNA BR,0626ASHC_26,254,ng/uL,6.34,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,15.86113331,1135.133968,,1370,27/08/2026 06:17:11 PM,,,,,,8,1.9.0,8
270826-190030,27/08/2026 07:05:29 PM,dsDNA BR,0626ASHC_27,31.6,ng/uL,0.791,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,14.40978778,1079.051757,,213,27/08/2026 06:17:11 PM,,,,,,8,1.9.0,8
270826-190030,27/08/2026 07:05:29 PM,dsDNA BR,0626ASHC_28,78.8,ng/uL,1.97,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,14.93422356,1067.044599,,479,27/08/2026 06:17:11 PM,,,,,,8,1.9.0,8
270826-190030,27/08/2026 07:05:29 PM,dsDNA BR,0626ASHC_29,34.5,ng/uL,0.863,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,15.098872,1073.438655,,229,27/08/2026 06:17:11 PM,,,,,,8,1.9.0,8
