Run ID,Test Date,Assay Name,Sample Name,Original Sample Conc.,Original sample conc. units,Qubit Tube Conc.,Qubit tube conc. units,Sample Volume (uL),Dilution Factor,Extended Low Range,Core Range,Extended High Range,Excitation,Std 1 RFU,Std 2 RFU,Std 3 RFU,Sample RFU,Last Read Standards,Reagent Lot#,Plate Barcode,Well,Sample ID,Tags,Calibrated Tubes,Software Version,Selected Samples
230426-144334,23/04/2026 02:43:40 PM,dsDNA BR,0925GOLD_01,29.3,ng/uL,0.732,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,17.45661881,1205.051947,,223,23/04/2026 02:04:59 PM,,,,,,8,1.9.0,8
230426-144334,23/04/2026 02:43:40 PM,dsDNA BR,0925GOLD_02,17.2,ng/uL,0.431,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,16.93224954,1252.298013,,144,23/04/2026 02:04:59 PM,,,,,,8,1.9.0,8
230426-144334,23/04/2026 02:43:40 PM,dsDNA BR,0925GOLD_03,65.6,ng/uL,1.64,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,15.46279612,1132.065216,,432,23/04/2026 02:04:59 PM,,,,,,8,1.9.0,8
230426-144334,23/04/2026 02:43:40 PM,dsDNA BR,0925GOLD_04,26.8,ng/uL,0.67,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,15.86521905,1157.038049,,197,23/04/2026 02:04:59 PM,,,,,,8,1.9.0,8
230426-144334,23/04/2026 02:43:40 PM,dsDNA BR,0925GOLD_05,22,ng/uL,0.549,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,15.94448417,1175.984008,,167,23/04/2026 02:04:59 PM,,,,,,8,1.9.0,8
230426-144334,23/04/2026 02:43:40 PM,dsDNA BR,0925GOLD_06,48.4,ng/uL,1.21,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,13.93236953,1066.519145,,309,23/04/2026 02:04:59 PM,,,,,,8,1.9.0,8
230426-144334,23/04/2026 02:43:40 PM,dsDNA BR,0925GOLD_07,42.8,ng/uL,1.07,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,14.0969971,1049.316044,,271,23/04/2026 02:04:59 PM,,,,,,8,1.9.0,8
230426-144334,23/04/2026 02:43:40 PM,dsDNA BR,0925GOLD_08,10.7,ng/uL,0.268,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,14.18845685,1026.031223,,79.5,23/04/2026 02:04:59 PM,,,,,,8,1.9.0,8
230426-144334,23/04/2026 02:43:59 PM,dsDNA BR,0925GOLD_09,30.2,ng/uL,0.755,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,17.45661881,1205.051947,,229,23/04/2026 02:04:59 PM,,,,,,8,1.9.0,8
230426-144334,23/04/2026 02:43:59 PM,dsDNA BR,0925GOLD_10,58.8,ng/uL,1.47,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,16.93224954,1252.298013,,433,23/04/2026 02:04:59 PM,,,,,,8,1.9.0,8
