Run ID,Test Date,Assay Name,Sample Name,Original Sample Conc.,Original sample conc. units,Qubit Tube Conc.,Qubit tube conc. units,Sample Volume (uL),Dilution Factor,Extended Low Range,Core Range,Extended High Range,Excitation,Std 1 RFU,Std 2 RFU,Std 3 RFU,Sample RFU,Last Read Standards,Reagent Lot#,Plate Barcode,Well,Sample ID,Tags,Calibrated Tubes,Software Version,Selected Samples
050825-174948,5/8/2025 17:49,dsDNA BR,1124FENC_01,42,ng/uL,1.05,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,22.58971089,1306.813432,,338,5/8/2025 16:21,,,,,,8,1.9.0,8
050825-174948,5/8/2025 17:49,dsDNA BR,1124FENC_02,49.6,ng/uL,1.24,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,22.56610618,1351.635534,,402,5/8/2025 16:21,,,,,,8,1.9.0,8
050825-174948,5/8/2025 17:49,dsDNA BR,1124FENC_03,23.6,ng/uL,0.589,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,20.5656067,1260.910923,,194,5/8/2025 16:21,,,,,,8,1.9.0,8
050825-174948,5/8/2025 17:49,dsDNA BR,1124FENC_04,37,ng/uL,0.926,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,21.06130569,1319.176114,,302,5/8/2025 16:21,,,,,,8,1.9.0,8
050825-174948,5/8/2025 17:49,dsDNA BR,1124FENC_05,36.3,ng/uL,0.908,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,21.25604458,1317.682438,,297,5/8/2025 16:21,,,,,,8,1.9.0,8
050825-174948,5/8/2025 17:49,dsDNA BR,1124FENC_06,33.8,ng/uL,0.845,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,18.38807188,1144.132579,,242,5/8/2025 16:21,,,,,,8,1.9.0,8
050825-174948,5/8/2025 17:49,dsDNA BR,1124FENC_07,63.6,ng/uL,1.59,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,18.56510723,1133.080554,,422,5/8/2025 16:21,,,,,,8,1.9.0,8
050825-174948,5/8/2025 17:49,dsDNA BR,1124FENC_08,41.2,ng/uL,1.03,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,17.80385522,1121.603451,,284,5/8/2025 16:21,,,,,,8,1.9.0,8
050825-174948,5/8/2025 17:51,dsDNA BR,1124FENC_09,18,ng/uL,0.449,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,22.58971089,1306.813432,,160,5/8/2025 16:21,,,,,,8,1.9.0,8
050825-174948,5/8/2025 17:51,dsDNA BR,1124FENC_10,40.8,ng/uL,1.02,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,22.56610618,1351.635534,,339,5/8/2025 16:21,,,,,,8,1.9.0,8
050825-174948,5/8/2025 17:51,dsDNA BR,1124FENC_11,35.6,ng/uL,0.891,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,20.5656067,1260.910923,,280,5/8/2025 16:21,,,,,,8,1.9.0,8
050825-174948,5/8/2025 17:51,dsDNA BR,1124FENC_12,52.8,ng/uL,1.32,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,21.06130569,1319.176114,,417,5/8/2025 16:21,,,,,,8,1.9.0,8
050825-174948,5/8/2025 17:51,dsDNA BR,1124FENC_13,29.6,ng/uL,0.74,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,21.25604458,1317.682438,,247,5/8/2025 16:21,,,,,,8,1.9.0,8
050825-174948,5/8/2025 17:51,dsDNA BR,1124FENC_14,37.8,ng/uL,0.946,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,18.38807188,1144.132579,,267,5/8/2025 16:21,,,,,,8,1.9.0,8
050825-174948,5/8/2025 17:51,dsDNA BR,1124FENC_15,43.6,ng/uL,1.09,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,18.56510723,1133.080554,,301,5/8/2025 16:21,,,,,,8,1.9.0,8
050825-174948,5/8/2025 17:51,dsDNA BR,1124FENC_16,46.8,ng/uL,1.17,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,17.80385522,1121.603451,,317,5/8/2025 16:21,,,,,,8,1.9.0,8
050825-174948,5/8/2025 17:52,dsDNA BR,1124FENC_17,38.4,ng/uL,0.96,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,22.58971089,1306.813432,,311,5/8/2025 16:21,,,,,,8,1.9.0,8
050825-174948,5/8/2025 17:52,dsDNA BR,1124FENC_18,25.4,ng/uL,0.634,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,22.56610618,1351.635534,,222,5/8/2025 16:21,,,,,,8,1.9.0,8
050825-174948,5/8/2025 17:52,dsDNA BR,1124FENC_19,45.6,ng/uL,1.14,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,20.5656067,1260.910923,,349,5/8/2025 16:21,,,,,,8,1.9.0,8
050825-174948,5/8/2025 17:52,dsDNA BR,1124FENC_20,59.6,ng/uL,1.49,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,21.06130569,1319.176114,,464,5/8/2025 16:21,,,,,,8,1.9.0,8
050825-174948,5/8/2025 17:52,dsDNA BR,1124FENC_21,43.2,ng/uL,1.08,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,21.25604458,1317.682438,,346,5/8/2025 16:21,,,,,,8,1.9.0,8
050825-174948,5/8/2025 17:52,dsDNA BR,1124FENC_22,52,ng/uL,1.3,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,18.38807188,1144.132579,,356,5/8/2025 16:21,,,,,,8,1.9.0,8
050825-174948,5/8/2025 17:52,dsDNA BR,1124FENC_23,46.8,ng/uL,1.17,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,18.56510723,1133.080554,,321,5/8/2025 16:21,,,,,,8,1.9.0,8
050825-174948,5/8/2025 17:52,dsDNA BR,1124FENC_24,32.5,ng/uL,0.813,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,17.80385522,1121.603451,,229,5/8/2025 16:21,,,,,,8,1.9.0,8
050825-174948,5/8/2025 17:54,dsDNA BR,1124FENC_25,38.6,ng/uL,0.965,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,22.58971089,1306.813432,,312,5/8/2025 16:21,,,,,,8,1.9.0,6
050825-174948,5/8/2025 17:54,dsDNA BR,1124FENC_26,48.8,ng/uL,1.22,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,22.56610618,1351.635534,,399,5/8/2025 16:21,,,,,,8,1.9.0,6
050825-174948,5/8/2025 17:54,dsDNA BR,1124FENC_27,46.8,ng/uL,1.17,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,20.5656067,1260.910923,,356,5/8/2025 16:21,,,,,,8,1.9.0,6
050825-174948,5/8/2025 17:54,dsDNA BR,1124FENC_28,58.4,ng/uL,1.46,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,21.06130569,1319.176114,,456,5/8/2025 16:21,,,,,,8,1.9.0,6
050825-174948,5/8/2025 17:54,dsDNA BR,1124FENC_29,45.6,ng/uL,1.14,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,21.25604458,1317.682438,,365,5/8/2025 16:21,,,,,,8,1.9.0,6
050825-174948,5/8/2025 17:54,dsDNA BR,1124FENC_30,46,ng/uL,1.15,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,18.38807188,1144.132579,,317,5/8/2025 16:21,,,,,,8,1.9.0,6
050825-174251,5/8/2025 17:43,dsDNA BR,1124FENC_01,43.6,ng/uL,1.09,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,22.58971089,1306.813432,,348,5/8/2025 16:21,,,,,,8,1.9.0,8
050825-174251,5/8/2025 17:43,dsDNA BR,1124FENC_02,49.2,ng/uL,1.23,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,22.56610618,1351.635534,,399,5/8/2025 16:21,,,,,,8,1.9.0,8
050825-174251,5/8/2025 17:43,dsDNA BR,1124FENC_03,23.5,ng/uL,0.588,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,20.5656067,1260.910923,,194,5/8/2025 16:21,,,,,,8,1.9.0,8
050825-174251,5/8/2025 17:43,dsDNA BR,1124FENC_04,37.5,ng/uL,0.938,ug/mL,5,40,N/A,0.8-200,200-400,BLUE,21.06130569,1319.176114,,306,5/8/2025 16:21,,,,,,8,1.9.0,8
