Sample_ID,Date_collected,Site,Lab_sample,Date_read1,P. marinus1,Haplosporidium1,Nematopsis1,General_ciliates1,Notes1,Reader_1,Duplicate_read,Date_read2,P. marinus2,Haplosporidium2,Nematopsis2,General_ciliates2,Notes2,Reader_2,,,,,,,,,,,,,
0725GOLD_01,7/29/2025,GOLD,1,02-02-2026,0.5,2,FALSE,FALSE,,LMB,,,,,,,,,,,,,,,,,,,,,
0725GOLD_02,7/29/2025,GOLD,2,02-02-2026,4,1,FALSE,FALSE,,LMB,,,,,,,,,,,,,,,,,,,,,
0725GOLD_03,7/29/2025,GOLD,3,02-02-2026,0.5,1,FALSE,TRUE,spheno,LMB,,,,,,,,,,,,,,,,,,,,,
0725GOLD_04,7/29/2025,GOLD,4,02-02-2026,0.5,0,FALSE,FALSE,systemic hemocytosis with little apparent reason,LMB,,,,,,,,,,,,,,,,,,,,,
0725GOLD_05,7/29/2025,GOLD,5,02-02-2026,0.5,0,FALSE,TRUE,spheno,LMB,,,,,,,,,,,,,,,,,,,,,
0725GOLD_06,7/29/2025,GOLD,6,02-02-2026,0.5,1,FALSE,FALSE,,LMB,,,,,,,,,,,,,,,,,,,,,
0725GOLD_07,7/29/2025,GOLD,7,02-02-2026,0.5,0,FALSE,TRUE,spheno,LMB,,,,,,,,,,,,,,,,,,,,,
0725GOLD_08,7/29/2025,GOLD,8,02-02-2026,0,1,FALSE,FALSE,,LMB,,,,,,,,,,,,,,,,,,,,,
0725GOLD_09,7/29/2025,GOLD,9,02-02-2026,0,2,FALSE,FALSE,,LMB,,,,,,,,,,,,,,,,,,,,,
0725GOLD_10,7/29/2025,GOLD,10,02-02-2026,0.5,1,FALSE,FALSE,,LMB,,,,,,,,,,,,,,,,,,,,,
0725GOLD_11,7/29/2025,GOLD,11,02-02-2026,0,0,FALSE,TRUE,spheno,KJL,,,,,,,,,,,,,,,,,,,,,
0725GOLD_12,7/29/2025,GOLD,12,02-02-2026,0.5,0,FALSE,FALSE,,MLK,,,,,,,,,,,,,,,,,,,,,
0725GOLD_13,7/29/2025,GOLD,13,02-02-2026,0,0,FALSE,FALSE,,KJL,,,,,,,,,,,,,,,,,,,,,
0725GOLD_14,7/29/2025,GOLD,14,02-02-2026,0,0,FALSE,FALSE,,SND,,,,,,,,,,,,,,,,,,,,,
0725GOLD_15,7/29/2025,GOLD,15,02-02-2026,0,0,FALSE,FALSE,,MLK,,,,,,,,,,,,,,,,,,,,,
0725GOLD_16,7/29/2025,GOLD,16,02-04-2026,0.5,2,FALSE,TRUE,repro score 6 male - 100+ haplo cells only in gills; 1 perkinsus cell spheno ,KJL,,,,,,,,,,,,,,,,,,,,,
0725GOLD_17,7/29/2025,GOLD,17,02-04-2026,1,0,FALSE,FALSE,,MLK,,,,,,,,,,,,,,,,,,,,,
0725GOLD_18,7/29/2025,GOLD,18,02-04-2026,0.5,0,FALSE,FALSE,,KJL,,,,,,,,,,,,,,,,,,,,,
0725GOLD_19,7/29/2025,GOLD,19,02-04-2026,0,0,FALSE,FALSE,no gills present ,MLK,,,,,,,,,,,,,,,,,,,,,
0725GOLD_20,7/29/2025,GOLD,20,02-04-2026,0,1,FALSE,TRUE,spheno,KJL,,,,,,,,,,,,,,,,,,,,,
0725GOLD_21,7/29/2025,GOLD,21,02-04-2026,0.5,0,FALSE,FALSE,,MLK,,,,,,,,,,,,,,,,,,,,,
0725GOLD_22,7/29/2025,GOLD,22,02-04-2026,1,0,FALSE,FALSE,,MLK,,,,,,,,,,,,,,,,,,,,,
0725GOLD_23,7/29/2025,GOLD,23,02-04-2026,0,1,FALSE,FALSE,maybe 1 haplo cells found in connective tissue (check photo) - Lydia confirmed haplo cell,KJL,,,,,,,,,,,,,,,,,,,,,
0725GOLD_24,7/29/2025,GOLD,24,02-18-2026,0.5,0,FALSE,FALSE,,MLK,,,,,,,,,,,,,,,,,,,,,
0725GOLD_25,7/29/2025,GOLD,25,02-18-2026,3,0,TRUE,FALSE,,SND,,,,,,,,,,,,,,,,,,,,,
0725GOLD_26,7/29/2025,GOLD,26,02-18-2026,0,0,FALSE,FALSE,"hemocytosis in gut,  not a good cut on gills ",MLK,,,,,,,,,,,,,,,,,,,,,
0725GOLD_27,7/29/2025,GOLD,27,02-18-2026,0,0,FALSE,FALSE,,MLK,,,,,,,,,,,,,,,,,,,,,
0725GOLD_28,7/29/2025,GOLD,28,02-18-2026,2,0,FALSE,FALSE,little gills present ,SND,,,,,,,,,,,,,,,,,,,,,
0725GOLD_29,7/29/2025,GOLD,29,02-18-2026,3,0,FALSE,FALSE,,SND,,,,,,,,,,,,,,,,,,,,,
0725GOLD_30,7/29/2025,GOLD,30,02-18-2026,0,0,FALSE,FALSE,,MLK,,,,,,,,,,,,,,,,,,,,,
