Sample_ID,Date_collected,Site,Lab_sample,Date_read1,P. marinus1,Haplosporidium1,Nematopsis1,General_ciliates1,Notes1,Reader_1,Duplicate_read,Date_read2,P. marinus2,Haplosporidium2,Nematopsis2,General_ciliates2,Notes2,Reader_2,,,,,,,,,,,,,
0925ASHC_01,9/11/2025,ASHC,1,04-01-2026,2,0,TRUE,TRUE,Spheno,KJL,,,,,,,,,,,,,,,,,,,,,
0925ASHC_02,9/11/2025,ASHC,2,04-01-2026,0.5,0,TRUE,FALSE,,MLK,,,,,,,,,,,,,,,,,,,,,
0925ASHC_03,9/11/2025,ASHC,3,04-01-2026,3,0,TRUE,FALSE,,LMB,,,,,,,,,,,,,,,,,,,,,
0925ASHC_04,9/11/2025,ASHC,4,04-01-2026,0.5,1,TRUE,TRUE,stego and spheno,LMB,,,,,,,,,,,,,,,,,,,,,
0925ASHC_05,9/11/2025,ASHC,5,04-01-2026,0.5,0,TRUE,TRUE,spheno ,SND,,,,,,,,,,,,,,,,,,,,,
0925ASHC_06,9/11/2025,ASHC,6,04-01-2026,0,0,TRUE,TRUE,Spheno,KJL,,,,,,,,,,,,,,,,,,,,,
0925ASHC_07,9/11/2025,ASHC,7,04-01-2026,0,0,TRUE,FALSE,,MLK,,,,,,,,,,,,,,,,,,,,,
0925ASHC_08,9/11/2025,ASHC,8,04-01-2026,1,0,TRUE,FALSE,,LMB,,,,,,,,,,,,,,,,,,,,,
0925ASHC_09,9/11/2025,ASHC,9,04-01-2026,0,0,TRUE,TRUE,spheno ,KJL,,,,,,,,,,,,,,,,,,,,,
0925ASHC_10,9/11/2025,ASHC,10,04-01-2026,3,0,TRUE,FALSE,,MLK,,,,,,,,,,,,,,,,,,,,,
0925ASHC_11,9/11/2025,ASHC,11,04-01-2026,3,0,TRUE,TRUE,spheno ,SND,,,,,,,,,,,,,,,,,,,,,
0925ASHC_12,9/11/2025,ASHC,12,04-01-2026,3,0,TRUE,FALSE,,LMB,,,,,,,,,,,,,,,,,,,,,
0925ASHC_13,9/11/2025,ASHC,13,04-01-2026,3,0,TRUE,FALSE,,LMB,,,,,,,,,,,,,,,,,,,,,
0925ASHC_14,9/11/2025,ASHC,14,04-13-2026,3,0,TRUE,FALSE,,SND,,,,,,,,,,,,,,,,,,,,,
0925ASHC_15,9/11/2025,ASHC,15,04-13-2026,0.5,0,TRUE,FALSE,Bucephalus ,LMB,,,,,,,,,,,,,,,,,,,,,
0925ASHC_16,9/11/2025,ASHC,16,04-13-2026,0.5,0,TRUE,FALSE,,MLK,,,,,,,,,,,,,,,,,,,,,
0925ASHC_17,9/11/2025,ASHC,17,04-13-2026,0,0,TRUE,TRUE,spheno ,KJL,,,,,,,,,,,,,,,,,,,,,
0925ASHC_18,9/11/2025,ASHC,18,04-13-2026,0,0,TRUE,TRUE,spheno ,LMB,,,,,,,,,,,,,,,,,,,,,
0925ASHC_19,9/11/2025,ASHC,19,04-13-2026,0.5,0,TRUE,FALSE,part of the gut epithelium is missing ,MLK,,,,,,,,,,,,,,,,,,,,,
0925ASHC_20,9/11/2025,ASHC,20,04-13-2026,3,0,TRUE,FALSE,sections of hemocytosis in connective tissue ,LMB,,,,,,,,,,,,,,,,,,,,,
0925ASHC_21,9/11/2025,ASHC,21,04-13-2026,0,0,TRUE,FALSE,,KJL,,,,,,,,,,,,,,,,,,,,,
0925ASHC_22,9/11/2025,ASHC,22,04-13-2026,3,0,TRUE,FALSE,heavy hemocytosis action ,SND,,,,,,,,,,,,,,,,,,,,,
0925ASHC_23,9/11/2025,ASHC,23,04-13-2026,2,0,TRUE,FALSE,,MLK,,,,,,,,,,,,,,,,,,,,,
0925ASHC_24,9/11/2025,ASHC,24,04-13-2026,0.5,0,TRUE,FALSE,,KJL,,,,,,,,,,,,,,,,,,,,,
0925ASHC_25,9/11/2025,ASHC,25,04-13-2026,3,0,TRUE,TRUE,spheno ,LMB,,,,,,,,,,,,,,,,,,,,,
0925ASHC_26,9/11/2025,ASHC,26,04-13-2026,3,0,TRUE,TRUE,spheno ,LMB,,,,,,,,,,,,,,,,,,,,,
0925ASHC_27,9/11/2025,ASHC,27,04-13-2026,3,0,TRUE,FALSE,,KJL,,,,,,,,,,,,,,,,,,,,,
0925ASHC_28,9/11/2025,ASHC,28,04-13-2026,2,0,TRUE,FALSE,,SND,,,,,,,,,,,,,,,,,,,,,
0925ASHC_29,9/11/2025,ASHC,29,04-13-2026,0.5,0,TRUE,FALSE,,LMB,,,,,,,,,,,,,,,,,,,,,
0925ASHC_30,9/11/2025,ASHC,30,04-13-2026,3,0,TRUE,FALSE,,KJL,,,,,,,,,,,,,,,,,,,,,
