lab_id,date_collected,site,lab_sample,date_rftmread1,rftm_reader1,rftm_intensity_read1,duplicate_read,date_rftmread2,rftm_reader2,rftm_intensity_read2,rftm_notes,rftm_final
0425FENC_01,2025-04-03,FENC,1,2025-04-10,Kyra Lenderman,0.5,FALSE,,,,,0.5
0425FENC_02,2025-04-03,FENC,2,2025-04-10,Kyra Lenderman,0,FALSE,,,,,0
0425FENC_03,2025-04-03,FENC,3,2025-04-10,Isaiah Mayo,0,FALSE,,,,,0
0425FENC_04,2025-04-03,FENC,4,2025-04-10,Isaiah Mayo,0.5,FALSE,,,,,0.5
0425FENC_05,2025-04-03,FENC,5,2025-04-10,Kyra Lenderman,0,FALSE,,,,,0
0425FENC_06,2025-04-03,FENC,6,2025-04-10,Kyra Lenderman,0.5,FALSE,,,,,0.5
0425FENC_07,2025-04-03,FENC,7,2025-04-10,Isaiah Mayo,0.5,TRUE,2025-04-10,Kyra Lenderman,0.5,,0.5
0425FENC_08,2025-04-03,FENC,8,2025-04-10,Isaiah Mayo,0.5,TRUE,2025-04-10,Kyra Lenderman,0.5,,0.5
0425FENC_09,2025-04-03,FENC,9,2025-04-10,Kyra Lenderman,0,FALSE,,,,,0
0425FENC_10,2025-04-03,FENC,10,2025-04-10,Kyra Lenderman,0.5,FALSE,,,,,0.5
0425FENC_11,2025-04-03,FENC,11,2025-04-10,Kyra Lenderman,0.5,FALSE,,,,,0.5
0425FENC_12,2025-04-03,FENC,12,2025-04-10,Kyra Lenderman,0,FALSE,,,,,0
0425FENC_13,2025-04-03,FENC,13,2025-04-10,Isaiah Mayo,0.5,FALSE,,,,,0.5
0425FENC_14,2025-04-03,FENC,14,2025-04-10,Isaiah Mayo,0,FALSE,,,,,0
0425FENC_15,2025-04-03,FENC,15,2025-04-10,Sarina Dery,0.5,FALSE,,,,,0.5
0425FENC_16,2025-04-03,FENC,16,2025-04-10,Sarina Dery,0.5,FALSE,,,,,0.5
0425FENC_17,2025-04-03,FENC,17,2025-04-10,Kyra Lenderman,3,FALSE,,,,,3
0425FENC_18,2025-04-03,FENC,18,2025-04-10,Kyra Lenderman,0.5,FALSE,,,,,0.5
0425FENC_19,2025-04-03,FENC,19,2025-04-10,Isaiah Mayo,0.5,FALSE,,,,,0.5
0425FENC_20,2025-04-03,FENC,20,2025-04-10,Isaiah Mayo,0.5,FALSE,,,,,0.5
0425FENC_21,2025-04-03,FENC,21,2025-04-10,Kyra Lenderman,0.5,TRUE,2025-04-10,Sarina Dery,0.5,,0.5
0425FENC_22,2025-04-03,FENC,22,2025-04-10,Kyra Lenderman,0.5,TRUE,2025-04-10,Sarina Dery,0.5,,0.5
0425FENC_23,2025-04-03,FENC,23,2025-04-10,Sarina Dery,0.5,FALSE,,,,,0.5
0425FENC_24,2025-04-03,FENC,24,2025-04-10,Sarina Dery,0.5,FALSE,,,,,0.5
0425FENC_25,2025-04-03,FENC,25,2025-04-10,Isaiah Mayo,0.5,FALSE,,,,,0.5
0425FENC_26,2025-04-03,FENC,26,2025-04-10,Isaiah Mayo,0.5,FALSE,,,,,0.5
0425FENC_27,2025-04-03,FENC,27,2025-04-10,Sarina Dery,1,FALSE,,,,,1
0425FENC_28,2025-04-03,FENC,28,2025-04-10,Sarina Dery,0.5,FALSE,,,,,0.5
0425FENC_29,2025-04-03,FENC,29,2025-04-10,Isaiah Mayo,0,FALSE,,,,,0
0425FENC_30,2025-04-03,FENC,30,2025-04-10,Isaiah Mayo,0.5,FALSE,,,,,0.5
