lab_id,date_collected,site,lab_sample,date_rftmread1,rftm_reader1,rftm_intensity_read1,duplicate_read,date_rftmread2,rftm_reader2,rftm_intensity_read2,rftm_notes,rftm_final
0825GOLD_01,2025-08-18,GOLD,1,2025-08-26,Sarina Dery,2,TRUE,2025-08-26,Kyra Lenderman,2,,2
0825GOLD_02,2025-08-18,GOLD,2,2025-08-26,Sarina Dery,2,TRUE,2025-08-26,Kyra Lenderman,2,,2
0825GOLD_03,2025-08-18,GOLD,3,2025-08-26,Isaiah Mayo,2,FALSE,,,,,2
0825GOLD_04,2025-08-18,GOLD,4,2025-08-26,Isaiah Mayo,0.5,FALSE,,,,,0.5
0825GOLD_05,2025-08-18,GOLD,5,2025-08-26,Kyra Lenderman,0.5,FALSE,,,,,0.5
0825GOLD_06,2025-08-18,GOLD,6,2025-08-26,Kyra Lenderman,0,FALSE,,,,,0
0825GOLD_07,2025-08-18,GOLD,7,2025-08-26,Kyra Lenderman,0,TRUE,2025-08-26,Isaiah Mayo,0,,0
0825GOLD_08,2025-08-18,GOLD,8,2025-08-26,Kyra Lenderman,0,FALSE,,,,,0
0825GOLD_09,2025-08-18,GOLD,9,2025-08-26,Isaiah Mayo,3,FALSE,,,,,3
0825GOLD_10,2025-08-18,GOLD,10,2025-08-26,Isaiah Mayo,2,FALSE,,,,,2
0825GOLD_11,2025-08-18,GOLD,11,2025-08-26,Kyra Lenderman,0,FALSE,,,,,0
0825GOLD_12,2025-08-18,GOLD,12,2025-08-26,Kyra Lenderman,2,FALSE,,,,,2
0825GOLD_13,2025-08-18,GOLD,13,2025-08-26,Isaiah Mayo,0.5,FALSE,,,,,0.5
0825GOLD_14,2025-08-18,GOLD,14,2025-08-26,Isaiah Mayo,3,FALSE,,,,,3
0825GOLD_15,2025-08-18,GOLD,15,2025-08-26,Kyra Lenderman,1,FALSE,,,,,1
0825GOLD_16,2025-08-18,GOLD,16,2025-08-26,Kyra Lenderman,0,FALSE,,,,,0
0825GOLD_17,2025-08-18,GOLD,17,2025-08-26,Sarina Dery,2,FALSE,,,,,2
0825GOLD_18,2025-08-18,GOLD,18,2025-08-26,Sarina Dery,0.5,FALSE,,,,,0.5
0825GOLD_19,2025-08-18,GOLD,19,2025-08-26,Isaiah Mayo,0.5,FALSE,,,,,0.5
0825GOLD_20,2025-08-18,GOLD,20,2025-08-26,Isaiah Mayo,2,FALSE,,,,,2
0825GOLD_21,2025-08-18,GOLD,21,2025-08-26,Kyra Lenderman,0.5,FALSE,,,,,0.5
0825GOLD_22,2025-08-18,GOLD,22,2025-08-26,Kyra Lenderman,1,FALSE,,,,,1
0825GOLD_23,2025-08-18,GOLD,23,2025-08-26,Sarina Dery,0.5,FALSE,,,,,0.5
0825GOLD_24,2025-08-18,GOLD,24,2025-08-26,Sarina Dery,1,FALSE,,,,,1
0825GOLD_25,2025-08-18,GOLD,25,2025-08-26,Kyra Lenderman,0,FALSE,,,,,0
0825GOLD_26,2025-08-18,GOLD,26,2025-08-26,Kyra Lenderman,0.5,FALSE,,,,,0.5
0825GOLD_27,2025-08-18,GOLD,27,2025-08-26,Kyra Lenderman,2,FALSE,,,,,2
0825GOLD_28,2025-08-18,GOLD,28,2025-08-26,Kyra Lenderman,3,FALSE,,,,,3
0825GOLD_29,2025-08-18,GOLD,29,2025-08-26,Sarina Dery,1,FALSE,,,,,1
0825GOLD_30,2025-08-18,GOLD,30,2025-08-26,Sarina Dery,2,FALSE,,,,,2
