lab_id,date_collected,site,lab_sample,date_rftmread1,rftm_reader1,rftm_intensity_read1,duplicate_read,date_rftmread2,rftm_reader2,rftm_intensity_read2,rftm_notes,rftm_final
0925ASHC_01,2025-09-11,ASHC,1,2025-09-17,Mariah Kachmar,0.5,FALSE,,,,,0.5
0925ASHC_02,2025-09-11,ASHC,2,2025-09-17,Mariah Kachmar,2,FALSE,,,,,2
0925ASHC_03,2025-09-11,ASHC,3,2025-09-17,Kyra Lenderman,0.5,TRUE,2025-09-17,Mariah Kachmar,0.5,,0.5
0925ASHC_04,2025-09-11,ASHC,4,2025-09-17,Kyra Lenderman,2,TRUE,2025-09-17,Mariah Kachmar,2,,2
0925ASHC_05,2025-09-11,ASHC,5,2025-09-17,Mariah Kachmar,1,FALSE,,,,,1
0925ASHC_06,2025-09-11,ASHC,6,2025-09-17,Mariah Kachmar,0.5,FALSE,,,,,0.5
0925ASHC_07,2025-09-11,ASHC,7,2025-09-17,Isaiah Mayo,0.5,FALSE,,,,,0.5
0925ASHC_08,2025-09-11,ASHC,8,2025-09-17,Isaiah Mayo,0.5,FALSE,,,,,0.5
0925ASHC_09,2025-09-11,ASHC,9,2025-09-17,Isaiah Mayo,1,FALSE,,,,,1
0925ASHC_10,2025-09-11,ASHC,10,2025-09-17,Isaiah Mayo,0.5,FALSE,,,,,0.5
0925ASHC_11,2025-09-11,ASHC,11,2025-09-17,Kyra Lenderman,2,FALSE,,,,,2
0925ASHC_12,2025-09-11,ASHC,12,2025-09-17,Kyra Lenderman,2,FALSE,,,,,2
0925ASHC_13,2025-09-11,ASHC,13,2025-09-17,Mariah Kachmar,0.5,FALSE,,,,,0.5
0925ASHC_14,2025-09-11,ASHC,14,2025-09-17,Mariah Kachmar,1,FALSE,,,,,1
0925ASHC_15,2025-09-11,ASHC,15,2025-09-17,Mariah Kachmar,0.5,FALSE,,,,,0.5
0925ASHC_16,2025-09-11,ASHC,16,2025-09-17,Mariah Kachmar,0,FALSE,,,,,0
0925ASHC_17,2025-09-11,ASHC,17,2025-09-17,Isaiah Mayo,0.5,FALSE,,,,,0.5
0925ASHC_18,2025-09-11,ASHC,18,2025-09-17,Isaiah Mayo,0,FALSE,,,,,0
0925ASHC_19,2025-09-11,ASHC,19,2025-09-17,Isaiah Mayo,1,FALSE,,,,,1
0925ASHC_20,2025-09-11,ASHC,20,2025-09-17,Isaiah Mayo,1,TRUE,2025-09-17,Mariah Kachmar,1,,1
0925ASHC_21,2025-09-11,ASHC,21,2025-09-17,Mariah Kachmar,0,FALSE,,,,,0
0925ASHC_22,2025-09-11,ASHC,22,2025-09-17,Mariah Kachmar,0.5,FALSE,,,,,0.5
0925ASHC_23,2025-09-11,ASHC,23,2025-09-17,Kyra Lenderman,1,FALSE,,,,,1
0925ASHC_24,2025-09-11,ASHC,24,2025-09-17,Kyra Lenderman,1,FALSE,,,,,1
0925ASHC_25,2025-09-11,ASHC,25,2025-09-17,Mariah Kachmar,1,FALSE,,,,,1
0925ASHC_26,2025-09-11,ASHC,26,2025-09-17,Mariah Kachmar,1,FALSE,,,,,1
0925ASHC_27,2025-09-11,ASHC,27,2025-09-17,Isaiah Mayo,2,FALSE,,,,,2
0925ASHC_28,2025-09-11,ASHC,28,2025-09-17,Isaiah Mayo,1,FALSE,,,,,1
0925ASHC_29,2025-09-11,ASHC,29,2025-09-17,Kyra Lenderman,1,FALSE,,,,,1
0925ASHC_30,2025-09-11,ASHC,30,2025-09-17,Kyra Lenderman,1,FALSE,,,,,1
