"data_all.Sample_ID","data_all.Date_collected","data_all.Site","data_all.Sex1","data_all.Stage1","data_all.Sex2","data_all.Stage2","data_all.sex_results","data_all.score_results"
"0225ASHC_01",2025-02-05,"ASHC","ND","2_Developing","ND","2_Developing","TRUE","TRUE"
"0225ASHC_02",2025-02-05,"ASHC","ND","7_Reabsorbing","ND","7_Reabsorbing","TRUE","TRUE"
"0225ASHC_03",2025-02-05,"ASHC","ND","7_Reabsorbing","ND","7_Reabsorbing","TRUE","TRUE"
"0225ASHC_04",2025-02-05,"ASHC","ND","7_Reabsorbing","ND","7_Reabsorbing","TRUE","TRUE"
"0225ASHC_05",2025-02-05,"ASHC","ND","7_Reabsorbing","ND","7_Reabsorbing","TRUE","TRUE"
"0225ASHC_06",2025-02-05,"ASHC","ND","7_Reabsorbing","ND","7_Reabsorbing","TRUE","TRUE"
"0225ASHC_07",2025-02-05,"ASHC","ND","7_Reabsorbing","ND","7_Reabsorbing","TRUE","TRUE"
"0225ASHC_08",2025-02-05,"ASHC","ND","2_Developing","ND","7_Reabsorbing","TRUE","FALSE"
"0225ASHC_09",2025-02-05,"ASHC","ND","7_Reabsorbing","ND","7_Reabsorbing","TRUE","TRUE"
"0225ASHC_10",2025-02-05,"ASHC","ND","7_Reabsorbing","ND","7_Reabsorbing","TRUE","TRUE"
"0225ASHC_11",2025-02-05,"ASHC","ND","7_Reabsorbing","ND","7_Reabsorbing","TRUE","TRUE"
"0225ASHC_12",2025-02-05,"ASHC","ND","7_Reabsorbing","ND","7_Reabsorbing","TRUE","TRUE"
"0225ASHC_13",2025-02-05,"ASHC","ND","7_Reabsorbing","ND","7_Reabsorbing","TRUE","TRUE"
"0225ASHC_14",2025-02-05,"ASHC","ND","2_Developing","ND","7_Reabsorbing","TRUE","FALSE"
"0225ASHC_15",2025-02-05,"ASHC","ND","7_Reabsorbing","ND","7_Reabsorbing","TRUE","TRUE"
"0225ASHC_16",2025-02-05,"ASHC","ND","7_Reabsorbing","ND","7_Reabsorbing","TRUE","TRUE"
"0225ASHC_17",2025-02-05,"ASHC","ND","7_Reabsorbing","ND","7_Reabsorbing","TRUE","TRUE"
"0225ASHC_18",2025-02-05,"ASHC","Female","7_Reabsorbing","Female","7_Reabsorbing","TRUE","TRUE"
"0225ASHC_19",2025-02-05,"ASHC","ND","7_Reabsorbing","ND","7_Reabsorbing","TRUE","TRUE"
"0225ASHC_20",2025-02-05,"ASHC","ND","2_Developing","ND","7_Reabsorbing","TRUE","FALSE"
"0225ASHC_21",2025-02-05,"ASHC","ND","7_Reabsorbing","ND","2_Developing","TRUE","FALSE"
"0225ASHC_22",2025-02-05,"ASHC","ND","2_Developing","ND","2_Developing","TRUE","TRUE"
"0225ASHC_23",2025-02-05,"ASHC","ND","7_Reabsorbing","ND","7_Reabsorbing","TRUE","TRUE"
"0225ASHC_24",2025-02-05,"ASHC","ND","7_Reabsorbing","ND","2_Developing","TRUE","FALSE"
"0225ASHC_25",2025-02-05,"ASHC","ND","7_Reabsorbing","ND","7_Reabsorbing","TRUE","TRUE"
"0225ASHC_26",2025-02-05,"ASHC","ND","7_Reabsorbing","ND","7_Reabsorbing","TRUE","TRUE"
"0225ASHC_27",2025-02-05,"ASHC","ND","7_Reabsorbing","ND","7_Reabsorbing","TRUE","TRUE"
"0225ASHC_28",2025-02-05,"ASHC","ND","2_Developing","ND","7_Reabsorbing","TRUE","FALSE"
"0225ASHC_29",2025-02-05,"ASHC","Male","7_Reabsorbing","ND","7_Reabsorbing","FALSE","TRUE"
"0225ASHC_30",2025-02-05,"ASHC","ND","7_Reabsorbing","ND","7_Reabsorbing","TRUE","TRUE"
"0324ASHC_01",2024-03-14,"ASHC","ND","2_Developing","ND","2_Developing","TRUE","TRUE"
"0324ASHC_02",2024-03-14,"ASHC","ND","2_Developing","ND","2_Developing","TRUE","TRUE"
"0324ASHC_03",2024-03-14,"ASHC","ND","2_Developing","ND","2_Developing","TRUE","TRUE"
"0324ASHC_04",2024-03-14,"ASHC","ND","2_Developing","ND","2_Developing","TRUE","TRUE"
"0324ASHC_05",2024-03-14,"ASHC","ND","2_Developing","ND","2_Developing","TRUE","TRUE"
"0324ASHC_06",2024-03-14,"ASHC","Male","3_Early_Active","Male","3_Early_Active","TRUE","TRUE"
"0324ASHC_07",2024-03-14,"ASHC","ND","2_Developing","ND","2_Developing","TRUE","TRUE"
"0324ASHC_08",2024-03-14,"ASHC","ND","2_Developing","ND","2_Developing","TRUE","TRUE"
"0324ASHC_09",2024-03-14,"ASHC","ND","2_Developing","ND","2_Developing","TRUE","TRUE"
"0324ASHC_10",2024-03-14,"ASHC","ND","2_Developing","ND","2_Developing","TRUE","TRUE"
"0324ASHC_11",2024-03-14,"ASHC","ND","2_Developing","ND","2_Developing","TRUE","TRUE"
"0324ASHC_12",2024-03-14,"ASHC","ND","2_Developing","ND","2_Developing","TRUE","TRUE"
"0324ASHC_13",2024-03-14,"ASHC","ND","2_Developing","ND","2_Developing","TRUE","TRUE"
"0324ASHC_14",2024-03-14,"ASHC","ND","2_Developing","ND","2_Developing","TRUE","TRUE"
"0324ASHC_15",2024-03-14,"ASHC","ND","2_Developing","ND","2_Developing","TRUE","TRUE"
"0324ASHC_16",2024-03-14,"ASHC","Female","3_Early_Active","Female","3_Early_Active","TRUE","TRUE"
"0324ASHC_17",2024-03-14,"ASHC","ND","2_Developing","ND","2_Developing","TRUE","TRUE"
"0324ASHC_18",2024-03-14,"ASHC","ND","2_Developing","ND","2_Developing","TRUE","TRUE"
"0324ASHC_19",2024-03-14,"ASHC","Female","3_Early_Active","Female","3_Early_Active","TRUE","TRUE"
"0324ASHC_20",2024-03-14,"ASHC","ND","2_Developing","ND","2_Developing","TRUE","TRUE"
"0324ASHC_21",2024-03-14,"ASHC","ND","2_Developing","ND","2_Developing","TRUE","TRUE"
"0324ASHC_22",2024-03-14,"ASHC","ND","2_Developing","ND","2_Developing","TRUE","TRUE"
"0324ASHC_23",2024-03-14,"ASHC","ND","2_Developing","ND","2_Developing","TRUE","TRUE"
"0324ASHC_24",2024-03-14,"ASHC","ND","2_Developing","ND","2_Developing","TRUE","TRUE"
"0324ASHC_25",2024-03-14,"ASHC","ND","2_Developing","ND","2_Developing","TRUE","TRUE"
"0324ASHC_26",2024-03-14,"ASHC","Female","3_Early_Active","Female","3_Early_Active","TRUE","TRUE"
"0324ASHC_27",2024-03-14,"ASHC","ND","2_Developing","ND","2_Developing","TRUE","TRUE"
"0324ASHC_28",2024-03-14,"ASHC","Male","3_Early_Active","Male","3_Early_Active","TRUE","TRUE"
"0324ASHC_29",2024-03-14,"ASHC","ND","2_Developing","ND","2_Developing","TRUE","TRUE"
"0324ASHC_30",2024-03-14,"ASHC","ND","2_Developing","ND","2_Developing","TRUE","TRUE"
"0324FENC_01",2024-03-06,"FENC","ND","2_Developing","ND","2_Developing","TRUE","TRUE"
"0324FENC_02",2024-03-06,"FENC","Female","2_Developing","Female","2_Developing","TRUE","TRUE"
"0324FENC_03",2024-03-06,"FENC","ND","2_Developing","ND","2_Developing","TRUE","TRUE"
"0324FENC_04",2024-03-06,"FENC","ND","2_Developing","ND","2_Developing","TRUE","TRUE"
"0324FENC_05",2024-03-06,"FENC","Female","3_Early_Active","Female","3_Early_Active","TRUE","TRUE"
"0324FENC_06",2024-03-06,"FENC","ND","2_Developing","ND","2_Developing","TRUE","TRUE"
"0324FENC_07",2024-03-06,"FENC","ND","2_Developing","ND","2_Developing","TRUE","TRUE"
"0324FENC_08",2024-03-06,"FENC","ND","2_Developing","ND","2_Developing","TRUE","TRUE"
"0324FENC_09",2024-03-06,"FENC","ND","2_Developing","ND","2_Developing","TRUE","TRUE"
"0324FENC_10",2024-03-06,"FENC","ND","2_Developing","ND","2_Developing","TRUE","TRUE"
"0324FENC_11",2024-03-06,"FENC","ND","2_Developing","ND","2_Developing","TRUE","TRUE"
"0324FENC_12",2024-03-06,"FENC","ND","2_Developing","ND","2_Developing","TRUE","TRUE"
"0324FENC_13",2024-03-06,"FENC","ND","2_Developing","ND","2_Developing","TRUE","TRUE"
"0324FENC_14",2024-03-06,"FENC","ND","2_Developing","ND","2_Developing","TRUE","TRUE"
"0324FENC_15",2024-03-06,"FENC","ND","2_Developing","ND","2_Developing","TRUE","TRUE"
"0324FENC_16",2024-03-06,"FENC","Female","3_Early_Active","Female","3_Early_Active","TRUE","TRUE"
"0324FENC_17",2024-03-06,"FENC","ND","2_Developing","ND","2_Developing","TRUE","TRUE"
"0324FENC_18",2024-03-06,"FENC","ND","2_Developing","ND","2_Developing","TRUE","TRUE"
"0324FENC_19",2024-03-06,"FENC","ND","2_Developing","ND","2_Developing","TRUE","TRUE"
"0324FENC_20",2024-03-06,"FENC","Male","3_Early_Active","Male","3_Early_Active","TRUE","TRUE"
"0324FENC_21",2024-03-06,"FENC","ND","2_Developing","ND","2_Developing","TRUE","TRUE"
"0324FENC_22",2024-03-06,"FENC","ND","2_Developing","ND","2_Developing","TRUE","TRUE"
"0324FENC_23",2024-03-06,"FENC","Male","3_Early_Active","Male","3_Early_Active","TRUE","TRUE"
"0324FENC_24",2024-03-06,"FENC","ND","2_Developing","ND","2_Developing","TRUE","TRUE"
"0324FENC_25",2024-03-06,"FENC","ND","2_Developing","ND","2_Developing","TRUE","TRUE"
"0324FENC_26",2024-03-06,"FENC","ND","2_Developing","ND","2_Developing","TRUE","TRUE"
"0324FENC_27",2024-03-06,"FENC","Female","3_Early_Active","Female","3_Early_Active","TRUE","TRUE"
"0324FENC_28",2024-03-06,"FENC","Female","3_Early_Active","Female","3_Early_Active","TRUE","TRUE"
"0324FENC_29",2024-03-06,"FENC","Female","3_Early_Active","Female","3_Early_Active","TRUE","TRUE"
