Sample_ID,Date_collected,Site,Lab_sample,Date_read1,reader1,Sex1,Stage1,Duplicate_read,Date_read2,reader2,Sex2,Stage2,Notes,Sex_final,Stage_final
1024ASHC_01,10-21-2024,ASHC,1,11-04-2025,Sarina Dery,ND,7_Reabsorbing,TRUE,12-31-2025,Kyra Lenderman,ND,7_Reabsorbing,possibly developing?-SD,ND,7_Reabsorbing
1024ASHC_02,10-21-2024,ASHC,2,11-04-2025,Sarina Dery,ND,7_Reabsorbing,TRUE,12-31-2025,Kyra Lenderman,ND,7_Reabsorbing,,ND,7_Reabsorbing
1024ASHC_03,10-21-2024,ASHC,3,11-04-2025,Sarina Dery,ND,7_Reabsorbing,TRUE,12-31-2025,Kyra Lenderman,ND,7_Reabsorbing,possibly developing?-SD,ND,7_Reabsorbing
1024ASHC_04,10-21-2024,ASHC,4,11-04-2025,Sarina Dery,ND,7_Reabsorbing,TRUE,12-31-2025,Kyra Lenderman,ND,2_Developing,possibly developing?-SD,Female,7_Reabsorbing
1024ASHC_05,10-21-2024,ASHC,5,11-05-2025,Sarina Dery,ND,7_Reabsorbing,TRUE,12-31-2025,Kyra Lenderman,ND,7_Reabsorbing,possibly developing?-SD,ND,7_Reabsorbing
1024ASHC_06,10-21-2024,ASHC,6,11-05-2025,Sarina Dery,ND,7_Reabsorbing,TRUE,12-31-2025,Kyra Lenderman,ND,7_Reabsorbing,possibly developing?-SD,ND,7_Reabsorbing
1024ASHC_07,10-21-2024,ASHC,7,11-05-2025,Sarina Dery,ND,7_Reabsorbing,TRUE,12-31-2025,Kyra Lenderman,ND,7_Reabsorbing,possibly developing?-SD,ND,7_Reabsorbing
1024ASHC_08,10-21-2024,ASHC,8,11-05-2025,Sarina Dery,ND,7_Reabsorbing,TRUE,12-31-2025,Kyra Lenderman,ND,2_Developing,possibly developing?-SD,ND,2_Developing
1024ASHC_09,10-21-2024,ASHC,9,11-05-2025,Sarina Dery,ND,7_Reabsorbing,TRUE,12-31-2025,Kyra Lenderman,ND,7_Reabsorbing,,ND,7_Reabsorbing
1024ASHC_10,10-21-2024,ASHC,10,11-05-2025,Sarina Dery,ND,7_Reabsorbing,TRUE,12-31-2025,Kyra Lenderman,ND,7_Reabsorbing,,ND,7_Reabsorbing
1024ASHC_11,10-21-2024,ASHC,11,11-05-2025,Sarina Dery,Male,2_Developing,TRUE,12-31-2025,Kyra Lenderman,ND,2_Developing,sperm heads present - SD,Male,7_Reabsorbing
1024ASHC_12,10-21-2024,ASHC,12,11-05-2025,Sarina Dery,ND,7_Reabsorbing,TRUE,12-31-2025,Kyra Lenderman,ND,7_Reabsorbing,,ND,7_Reabsorbing
1024ASHC_13,10-21-2024,ASHC,13,11-05-2025,Sarina Dery,ND,7_Reabsorbing,TRUE,12-31-2025,Kyra Lenderman,ND,7_Reabsorbing,possibly developing?-SD,ND,7_Reabsorbing
1024ASHC_14,10-21-2024,ASHC,14,11-05-2025,Sarina Dery,ND,2_Developing,TRUE,12-31-2025,Kyra Lenderman,ND,7_Reabsorbing,,ND,7_Reabsorbing
1024ASHC_15,10-21-2024,ASHC,15,11-05-2025,Sarina Dery,Female,7_Reabsorbing,TRUE,12-31-2025,Kyra Lenderman,Female,7_Reabsorbing,,Female,7_Reabsorbing
1024ASHC_16,10-21-2024,ASHC,16,11-05-2025,Sarina Dery,ND,7_Reabsorbing,TRUE,12-31-2025,Kyra Lenderman,ND,7_Reabsorbing,,ND,7_Reabsorbing
1024ASHC_17,10-21-2024,ASHC,17,11-05-2025,Sarina Dery,ND,7_Reabsorbing,TRUE,12-31-2025,Kyra Lenderman,ND,7_Reabsorbing,,ND,7_Reabsorbing
1024ASHC_18,10-21-2024,ASHC,18,11-05-2025,Sarina Dery,Female,7_Reabsorbing,TRUE,12-31-2025,Kyra Lenderman,Female,7_Reabsorbing,,Female,7_Reabsorbing
1024ASHC_19,10-21-2024,ASHC,19,11-05-2025,Sarina Dery,ND,7_Reabsorbing,TRUE,12-31-2025,Kyra Lenderman,ND,7_Reabsorbing,,ND,7_Reabsorbing
