lab_id,date_collected,site,lab_sample,date_processed,height_mm,condition,sample_notes,mantle_rftm,ggr1_frozen,ggr2_etoh,cross_histology,date_davidsons,date_etoh,,,
0626GOLD_01,6/16/2026,GOLD,1,6/17/2026,157.77,3_good_minus,,TRUE,TRUE,TRUE,TRUE,6/17/2026,6/18/2026,,,
0626GOLD_02,6/16/2026,GOLD,2,6/17/2026,94.38,3_good_minus,,TRUE,TRUE,TRUE,TRUE,6/17/2026,6/18/2026,,,
0626GOLD_03,6/16/2026,GOLD,3,6/17/2026,105.35,4_fair_plus,,TRUE,TRUE,TRUE,TRUE,6/17/2026,6/18/2026,,,
0626GOLD_04,6/16/2026,GOLD,4,6/17/2026,100.46,2_good,,TRUE,TRUE,TRUE,TRUE,6/17/2026,6/18/2026,,,
0626GOLD_05,6/16/2026,GOLD,5,6/17/2026,92.02,5_fair,,TRUE,TRUE,TRUE,TRUE,6/17/2026,6/18/2026,,,
0626GOLD_06,6/16/2026,GOLD,6,6/17/2026,97.43,3_good_minus,,TRUE,TRUE,TRUE,TRUE,6/17/2026,6/18/2026,,,
0626GOLD_07,6/16/2026,GOLD,7,6/17/2026,113.29,1_very_good,,TRUE,TRUE,TRUE,TRUE,6/17/2026,6/18/2026,,,
0626GOLD_08,6/16/2026,GOLD,8,6/17/2026,132.24,2_good,,TRUE,TRUE,TRUE,TRUE,6/17/2026,6/18/2026,,,
0626GOLD_09,6/16/2026,GOLD,9,6/17/2026,83.7,5_fair,,TRUE,TRUE,TRUE,TRUE,6/17/2026,6/18/2026,,,
0626GOLD_10,6/16/2026,GOLD,10,6/17/2026,94.42,3_good_minus,,TRUE,TRUE,TRUE,TRUE,6/17/2026,6/18/2026,,,
0626GOLD_11,6/16/2026,GOLD,11,6/17/2026,85.49,4_fair_plus,,TRUE,TRUE,TRUE,TRUE,6/17/2026,6/18/2026,,,
0626GOLD_12,6/16/2026,GOLD,12,6/17/2026,145.89,4_fair_plus,,TRUE,TRUE,TRUE,TRUE,6/17/2026,6/18/2026,,,  
0626GOLD_13,6/16/2026,GOLD,13,6/17/2026,86.66,3_good_minus,,TRUE,TRUE,TRUE,TRUE,6/17/2026,6/18/2026,,,
0626GOLD_14,6/16/2026,GOLD,14,6/17/2026,78.64,3_good_minus,,TRUE,TRUE,TRUE,TRUE,6/17/2026,6/18/2026,,,
0626GOLD_15,6/16/2026,GOLD,15,6/17/2026,84.49,5_fair,,TRUE,TRUE,TRUE,TRUE,6/17/2026,6/18/2026,,,
0626GOLD_16,6/16/2026,GOLD,16,6/17/2026,87.13,6_fair_minus,,TRUE,TRUE,TRUE,TRUE,6/17/2026,6/18/2026,,,
0626GOLD_17,6/16/2026,GOLD,17,6/17/2026,163.12,5_fair,,TRUE,TRUE,TRUE,TRUE,6/17/2026,6/18/2026,,,
0626GOLD_18,6/16/2026,GOLD,18,6/17/2026,163.17,3_good_minus,,TRUE,TRUE,TRUE,TRUE,6/17/2026,6/18/2026,,,
0626GOLD_19,6/16/2026,GOLD,19,6/17/2026,91.32,3_good_minus,,TRUE,TRUE,TRUE,TRUE,6/17/2026,6/18/2026,,,
0626GOLD_20,6/16/2026,GOLD,20,6/17/2026,158.41,3_good_minus,,TRUE,TRUE,TRUE,TRUE,6/17/2026,6/18/2026,,,
0626GOLD_21,6/16/2026,GOLD,21,6/17/2026,96.72,4_fair_plus,,TRUE,TRUE,TRUE,TRUE,6/17/2026,6/18/2026,,,
0626GOLD_22,6/16/2026,GOLD,22,6/17/2026,78.79,4_fair_plus,,TRUE,TRUE,TRUE,TRUE,6/17/2026,6/18/2026,,,
0626GOLD_23,6/16/2026,GOLD,23,6/17/2026,174.55,2_good,,TRUE,TRUE,TRUE,TRUE,6/17/2026,6/18/2026,,,
0626GOLD_24,6/16/2026,GOLD,24,6/17/2026,81.68,4_fair_plus,,TRUE,TRUE,TRUE,TRUE,6/17/2026,6/18/2026,,,
0626GOLD_25,6/16/2026,GOLD,25,6/17/2026,83.46,4_fair_plus,,TRUE,TRUE,TRUE,TRUE,6/17/2026,6/18/2026,,,
0626GOLD_26,6/16/2026,GOLD,26,6/17/2026,87.17,5_fair,,TRUE,TRUE,TRUE,TRUE,6/17/2026,6/18/2026,,,
0626GOLD_27,6/16/2026,GOLD,27,6/17/2026,85.37,4_fair_plus,,TRUE,TRUE,TRUE,TRUE,6/17/2026,6/18/2026,,,
0626GOLD_28,6/16/2026,GOLD,28,6/17/2026,168.64,6_fair_minus,,TRUE,TRUE,TRUE,TRUE,6/17/2026,6/18/2026,,,
0626GOLD_29,6/16/2026,GOLD,29,6/17/2026,85.35,4_fair_plus,,TRUE,TRUE,TRUE,TRUE,6/17/2026,6/18/2026,,,
0626GOLD_30,6/16/2026,GOLD,30,6/17/2026,91.61,4_fair_plus,,TRUE,TRUE,TRUE,TRUE,6/17/2026,6/18/2026,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,                                                                                                                     ,,,,,,,,,,,,
