lab_id,date_collected,site,lab_sample,date_processed,height_mm,condition,sample_notes,mantle_rftm,ggr1_frozen,ggr2_etoh,cross_histology,date_davidsons,date_etoh,,,
0726ASHC_01,7/20/2026,ASHC,1,7/20/2026,96.12,3_good_minus,,TRUE,TRUE,TRUE,TRUE,7/20/2026,7/22/2026,,,
0726ASHC_02,7/20/2026,ASHC,2,7/20/2026,101.65,5_fair,,TRUE,TRUE,TRUE,TRUE,7/20/2026,7/22/2026,,,
0726ASHC_03,7/20/2026,ASHC,3,7/20/2026,134.76,4_fair_plus,,TRUE,TRUE,TRUE,TRUE,7/20/2026,7/22/2026,,,
0726ASHC_04,7/20/2026,ASHC,4,7/20/2026,110.19,6_fair_minus,,TRUE,TRUE,TRUE,TRUE,7/20/2026,7/22/2026,,,
0726ASHC_05,7/20/2026,ASHC,5,7/20/2026,127.11,5_fair,,TRUE,TRUE,TRUE,TRUE,7/20/2026,7/22/2026,,,
0726ASHC_06,7/20/2026,ASHC,6,7/20/2026,143.93,3_good_minus,,TRUE,TRUE,TRUE,TRUE,7/20/2026,7/22/2026,,,
0726ASHC_07,7/20/2026,ASHC,7,7/20/2026,113.96,5_fair,,TRUE,TRUE,TRUE,TRUE,7/20/2026,7/22/2026,,,
0726ASHC_08,7/20/2026,ASHC,8,7/20/2026,114.85,3_good_minus,,TRUE,TRUE,TRUE,TRUE,7/20/2026,7/22/2026,,,
0726ASHC_09,7/20/2026,ASHC,9,7/20/2026,105.46,2_good,,TRUE,TRUE,TRUE,TRUE,7/20/2026,7/22/2026,,,
0726ASHC_10,7/20/2026,ASHC,10,7/20/2026,96.09,6_fair_minus,,TRUE,TRUE,TRUE,TRUE,7/20/2026,7/22/2026,,,
0726ASHC_11,7/20/2026,ASHC,11,7/20/2026,109.95,4_fair_plus,,TRUE,TRUE,TRUE,TRUE,7/20/2026,7/22/2026,,,
0726ASHC_12,7/20/2026,ASHC,12,7/20/2026,110.31,5_fair,,TRUE,TRUE,TRUE,TRUE,7/20/2026,7/22/2026,,,  
0726ASHC_13,7/20/2026,ASHC,13,7/20/2026,110.54,4_fair_plus,,TRUE,TRUE,TRUE,TRUE,7/20/2026,7/22/2026,,,
0726ASHC_14,7/20/2026,ASHC,14,7/20/2026,120.72,4_fair_plus,,TRUE,TRUE,TRUE,TRUE,7/20/2026,7/22/2026,,,
0726ASHC_15,7/20/2026,ASHC,15,7/20/2026,114.91,4_fair_plus,,TRUE,TRUE,TRUE,TRUE,7/20/2026,7/22/2026,,,
0726ASHC_16,7/20/2026,ASHC,16,7/20/2026,118.84,3_good_minus,,TRUE,TRUE,TRUE,TRUE,7/20/2026,7/22/2026,,,
0726ASHC_17,7/20/2026,ASHC,17,7/20/2026,101.61,5_fair,,TRUE,TRUE,TRUE,TRUE,7/20/2026,7/22/2026,,,
0726ASHC_18,7/20/2026,ASHC,18,7/20/2026,123.49,2_good,,TRUE,TRUE,TRUE,TRUE,7/20/2026,7/22/2026,,,
0726ASHC_19,7/20/2026,ASHC,19,7/20/2026,99.49,3_good_minus,,TRUE,TRUE,TRUE,TRUE,7/20/2026,7/22/2026,,,
0726ASHC_20,7/20/2026,ASHC,20,7/20/2026,112.17,4_fair_plus,,TRUE,TRUE,TRUE,TRUE,7/20/2026,7/22/2026,,,
0726ASHC_21,7/20/2026,ASHC,21,7/20/2026,123.44,4_fair_plus,,TRUE,TRUE,TRUE,TRUE,7/20/2026,7/22/2026,,,
0726ASHC_22,7/20/2026,ASHC,22,7/20/2026,121.9,4_fair_plus,,TRUE,TRUE,TRUE,TRUE,7/20/2026,7/22/2026,,,
0726ASHC_23,7/20/2026,ASHC,23,7/20/2026,95.31,2_good,,TRUE,TRUE,TRUE,TRUE,7/20/2026,7/22/2026,,,
0726ASHC_24,7/20/2026,ASHC,24,7/20/2026,103.74,3_good_minus,,TRUE,TRUE,TRUE,TRUE,7/20/2026,7/22/2026,,,
0726ASHC_25,7/20/2026,ASHC,25,7/20/2026,122.36,4_fair_plus,,TRUE,TRUE,TRUE,TRUE,7/20/2026,7/22/2026,,,
0726ASHC_26,7/20/2026,ASHC,26,7/20/2026,100.34,3_good_minus,,TRUE,TRUE,TRUE,TRUE,7/20/2026,7/22/2026,,,
0726ASHC_27,7/20/2026,ASHC,27,7/20/2026,119.85,4_fair_plus,,TRUE,TRUE,TRUE,TRUE,7/20/2026,7/22/2026,,,
0726ASHC_28,7/20/2026,ASHC,28,7/20/2026,125.36,4_fair_plus,,TRUE,TRUE,TRUE,TRUE,7/20/2026,7/22/2026,,,
0726ASHC_29,7/20/2026,ASHC,29,7/20/2026,90.92,4_fair_plus,,TRUE,TRUE,TRUE,TRUE,7/20/2026,7/22/2026,,,
0726ASHC_30,7/20/2026,ASHC,30,7/20/2026,92.83,5_fair,,TRUE,TRUE,TRUE,TRUE,7/20/2026,7/22/2026,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,                                                                                                                     ,,,,,,,,,,,,
