lab_id,date_collected,site,lab_sample,date_processed,height_mm,condition,sample_notes,mantle_rftm,ggr1_frozen,ggr2_etoh,cross_histology,date_davidsons,date_etoh,,,
0825FENC_01,8/14/2025,FENC,1,8/14/2025,111.4,4_fair_plus,,TRUE,TRUE,TRUE,TRUE,8/14/2025,8/15/2025,,,
0825FENC_02,8/14/2025,FENC,2,8/14/2025,106.4,4_fair_plus,,TRUE,TRUE,TRUE,TRUE,8/14/2025,8/15/2025,,,
0825FENC_03,8/14/2025,FENC,3,8/14/2025,110.37,6_fair_minus,,TRUE,TRUE,TRUE,TRUE,8/14/2025,8/15/2025,,,
0825FENC_04,8/14/2025,FENC,4,8/14/2025,100.32,5_fair,,TRUE,TRUE,TRUE,TRUE,8/14/2025,8/15/2025,,,
0825FENC_05,8/14/2025,FENC,5,8/14/2025,111.54,5_fair,,TRUE,TRUE,TRUE,TRUE,8/14/2025,8/15/2025,,,
0825FENC_06,8/14/2025,FENC,6,8/14/2025,119.06,5_fair,,TRUE,TRUE,TRUE,TRUE,8/14/2025,8/15/2025,,,
0825FENC_07,8/14/2025,FENC,7,8/14/2025,105.95,5_fair,,TRUE,TRUE,TRUE,TRUE,8/14/2025,8/15/2025,,,
0825FENC_08,8/14/2025,FENC,8,8/14/2025,121.15,4_fair_plus,,TRUE,TRUE,TRUE,TRUE,8/14/2025,8/15/2025,,,
0825FENC_09,8/14/2025,FENC,9,8/14/2025,89.48,5_fair,,TRUE,TRUE,TRUE,TRUE,8/14/2025,8/15/2025,,,
0825FENC_10,8/14/2025,FENC,10,8/14/2025,116.54,6_fair_minus,,TRUE,TRUE,TRUE,TRUE,8/14/2025,8/15/2025,,,
0825FENC_11,8/14/2025,FENC,11,8/14/2025,95.57,5_fair,,TRUE,TRUE,TRUE,TRUE,8/14/2025,8/15/2025,,,
0825FENC_12,8/14/2025,FENC,12,8/14/2025,99.4,5_fair,,TRUE,TRUE,TRUE,TRUE,8/14/2025,8/15/2025,,,  
0825FENC_13,8/14/2025,FENC,13,8/14/2025,123.3,6_fair_minus,,TRUE,TRUE,TRUE,TRUE,8/14/2025,8/15/2025,,,
0825FENC_14,8/14/2025,FENC,14,8/14/2025,114.56,4_fair_plus,,TRUE,TRUE,TRUE,TRUE,8/14/2025,8/15/2025,,,
0825FENC_15,8/14/2025,FENC,15,8/14/2025,116.55,5_fair,,TRUE,TRUE,TRUE,TRUE,8/14/2025,8/15/2025,,,
0825FENC_16,8/14/2025,FENC,16,8/14/2025,131.57,6_fair_minus,,TRUE,TRUE,TRUE,TRUE,8/14/2025,8/15/2025,,,
0825FENC_17,8/14/2025,FENC,17,8/14/2025,134.03,5_fair,,TRUE,TRUE,TRUE,TRUE,8/14/2025,8/15/2025,,,
0825FENC_18,8/14/2025,FENC,18,8/14/2025,94.35,5_fair,,TRUE,TRUE,TRUE,TRUE,8/14/2025,8/15/2025,,,
0825FENC_19,8/14/2025,FENC,19,8/14/2025,111.66,5_fair,,TRUE,TRUE,TRUE,TRUE,8/14/2025,8/15/2025,,,
0825FENC_20,8/14/2025,FENC,20,8/14/2025,99.41,5_fair,,TRUE,TRUE,TRUE,TRUE,8/14/2025,8/15/2025,,,
0825FENC_21,8/14/2025,FENC,21,8/14/2025,88.35,5_fair,,TRUE,TRUE,TRUE,TRUE,8/14/2025,8/15/2025,,,
0825FENC_22,8/14/2025,FENC,22,8/14/2025,103.74,6_fair_minus,,TRUE,TRUE,TRUE,TRUE,8/14/2025,8/15/2025,,,
0825FENC_23,8/14/2025,FENC,23,8/14/2025,108.85,5_fair,,TRUE,TRUE,TRUE,TRUE,8/14/2025,8/15/2025,,,
0825FENC_24,8/14/2025,FENC,24,8/14/2025,102.95,5_fair,,TRUE,TRUE,TRUE,TRUE,8/14/2025,8/15/2025,,,
0825FENC_25,8/14/2025,FENC,25,8/14/2025,102.69,5_fair,,TRUE,TRUE,TRUE,TRUE,8/14/2025,8/15/2025,,,
0825FENC_26,8/14/2025,FENC,26,8/14/2025,94.66,5_fair,,TRUE,TRUE,TRUE,TRUE,8/14/2025,8/15/2025,,,
0825FENC_27,8/14/2025,FENC,27,8/14/2025,107.02,5_fair,,TRUE,TRUE,TRUE,TRUE,8/14/2025,8/15/2025,,,
0825FENC_28,8/14/2025,FENC,28,8/14/2025,119.91,6_fair_minus,,TRUE,TRUE,TRUE,TRUE,8/14/2025,8/15/2025,,,
0825FENC_29,8/14/2025,FENC,29,8/14/2025,106.4,5_fair,,TRUE,TRUE,TRUE,TRUE,8/14/2025,8/15/2025,,,
0825FENC_30,8/14/2025,FENC,30,8/14/2025,130.32,6_fair_minus,,TRUE,TRUE,TRUE,TRUE,8/14/2025,8/15/2025,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,                                                                                                                     ,,,,,,,,,,,,
