File Name,0523FENC_qPCR.pcrd,,,,,,,,
Created By User,admin,,,,,,,,
Notes,,,,,,,,,
ID,,,,,,,,,
Run Started,10/29/2025 16:02:48 UTC,,,,,,,,
Run Ended,10/29/2025 17:10:44 UTC,,,,,,,,
Sample Vol,20,,,,,,,,
Lid Temp,105,,,,,,,,
Protocol File Name,Template_30_samples_triplex.prcl,,,,,,,,
Plate Setup File Name,Template_30_samples_triplex.pltd,,,,,,,,
Base Serial Number,795BR20267,,,,,,,,
Optical Head Serial Number,795BR20267,,,,,,,,
CFX Maestro Version,5.3.022.1030. ,,,,,,,,
,E%,R^2,,,,,,,
FAM,100.0,0.934,,,,,,,
HEX,124.1,0.881,,,,,,,
Cy5,147.6,0.839,,,,,,,
Well group,All Wells,,,,,,,,
Amplification step,3,,,,,,,,
Melt step,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Well,Fluor,Content,Replicate,Cq,Starting Quantity (SQ),Cq Mean,Cq Std. Dev,SQ Std. Dev,Melt Temperature
A01,Cy5,Std-01,1,NaN,10,0,0,0,
A02,Cy5,Std-01,1,37.96015259,10,37.96015259,0,0,
A03,Cy5,Std-01,1,NaN,10,0,0,0,
A04,Cy5,Unkn-01,1,31.68452104,2716.681524,31.70532791,0.029425364,71.11842334,
A05,Cy5,Unkn-01,1,31.72613479,2616.104886,31.70532791,0.029425364,71.11842334,
A06,Cy5,Unkn-09,9,36.06719913,51.11550298,35.94453122,0.173478636,9.002767277,
A07,Cy5,Unkn-09,9,35.8218633,63.84733856,35.94453122,0.173478636,9.002767277,
A08,Cy5,Unkn-17,17,NaN,NaN,0,0,0,
A09,Cy5,Unkn-17,17,NaN,NaN,0,0,0,
A10,Cy5,Unkn-25,25,33.96958048,342.2925243,34.01297701,0.061371965,18.31393082,
A11,Cy5,Unkn-25,25,34.05637355,316.3927149,34.01297701,0.061371965,18.31393082,
A12,Cy5,NTC-01,1,NaN,NaN,0,0,0,
B01,Cy5,Std-02,2,33.50024108,100,34.21885374,0.81667884,0,
B02,Cy5,Std-02,2,34.04933004,100,34.21885374,0.81667884,0,
B03,Cy5,Std-02,2,35.10699011,100,34.21885374,0.81667884,0,
B04,Cy5,Unkn-02,2,NaN,NaN,0,0,0,
B05,Cy5,Unkn-02,2,NaN,NaN,0,0,0,
B06,Cy5,Unkn-10,10,NaN,NaN,0,0,0,
B07,Cy5,Unkn-10,10,NaN,NaN,0,0,0,
B08,Cy5,Unkn-18,18,NaN,NaN,0,0,0,
B09,Cy5,Unkn-18,18,NaN,NaN,0,0,0,
B10,Cy5,Unkn-26,26,NaN,NaN,0,0,0,
B11,Cy5,Unkn-26,26,NaN,NaN,0,0,0,
B12,Cy5,NTC-02,2,NaN,NaN,0,0,0,
C01,Cy5,Std-03,3,30.05708673,1000,30.21533974,0.138848588,0,
C02,Cy5,Std-03,3,30.31673545,1000,30.21533974,0.138848588,0,
C03,Cy5,Std-03,3,30.27219706,1000,30.21533974,0.138848588,0,
C04,Cy5,Unkn-03,3,NaN,NaN,0,0,0,
C05,Cy5,Unkn-03,3,NaN,NaN,0,0,0,
C06,Cy5,Unkn-11,11,NaN,NaN,0,0,0,
C07,Cy5,Unkn-11,11,NaN,NaN,0,0,0,
C08,Cy5,Unkn-19,19,NaN,NaN,0,0,0,
C09,Cy5,Unkn-19,19,NaN,NaN,0,0,0,
C10,Cy5,Unkn-27,27,NaN,NaN,0,0,0,
C11,Cy5,Unkn-27,27,NaN,NaN,0,0,0,
C12,Cy5,NTC-03,3,NaN,NaN,0,0,0,
D01,Cy5,Std-04,4,31.11802443,10000,30.99656135,0.196098059,0,
D02,Cy5,Std-04,4,30.77033211,10000,30.99656135,0.196098059,0,
