File Name,0923ASHC_qPCR_9.17.26.pcrd,,,,,,,,
Created By User,admin,,,,,,,,
Notes,,,,,,,,,
ID,,,,,,,,,
Run Started,09/17/2026 15:32:36 UTC,,,,,,,,
Run Ended,09/17/2026 16:34:17 UTC,,,,,,,,
Sample Vol,20,,,,,,,,
Lid Temp,105,,,,,,,,
Protocol File Name,Template_30_samples_triplex.prcl,,,,,,,,
Plate Setup File Name,Template_30_samples_duplex.pltd,,,,,,,,
Base Serial Number,795BR20267,,,,,,,,
Optical Head Serial Number,795BR20267,,,,,,,,
CFX Maestro Version,5.3.022.1030. ,,,,,,,,
,,,,,,,,,
Well group,All Wells,,,,,,,,
Amplification step,3,,,,,,,,
Melt step,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Well,Fluor,Target,Content,Sample,Cq,Starting Quantity (SQ),Cq Mean,Cq Std. Dev,SQ Std. Dev
A01,FAM,,Std-01,,14.3723936,100000000,14.33664066,0.045221867,0
A02,FAM,,Std-01,,14.28580493,100000000,14.33664066,0.045221867,0
A03,FAM,,Std-01,,14.35172344,100000000,14.33664066,0.045221867,0
A04,FAM,,0923ASHC_01,,33.51912482,520.0574719,33.38774188,0.185803528,67.07600711
A05,FAM,,0923ASHC_01,,33.25635895,614.9172709,33.38774188,0.185803528,67.07600711
A06,FAM,,0923ASHC_09,,28.39413044,13654.29224,28.48649709,0.130626169,1072.861203
A07,FAM,,0923ASHC_09,,28.57886374,12137.03738,28.48649709,0.130626169,1072.861203
A08,FAM,,0923ASHC_17,,27.72461694,20925.2882,27.79179509,0.095004256,1214.830375
A09,FAM,,0923ASHC_17,,27.85897324,19207.25861,27.79179509,0.095004256,1214.830375
A10,FAM,,0923ASHC_25,,26.70477202,40094.77492,26.63311869,0.101333116,2712.713488
A11,FAM,,0923ASHC_25,,26.56146535,43931.13113,26.63311869,0.101333116,2712.713488
A12,FAM,,NTC-01,,NaN,NaN,0,0,0
B01,FAM,,Std-02,,18.12009089,10000000,18.14018387,0.052143072,0
B02,FAM,,Std-02,,18.10107649,10000000,18.14018387,0.052143072,0
B03,FAM,,Std-02,,18.19938425,10000000,18.14018387,0.052143072,0
B04,FAM,,0923ASHC_02,,25.60159641,81017.73887,25.68719489,0.121054526,5924.396494
B05,FAM,,0923ASHC_02,,25.77279336,72639.377,25.68719489,0.121054526,5924.396494
B06,FAM,,0923ASHC_10,,27.35944174,26411.68311,27.30704867,0.074094985,1290.463625
B07,FAM,,0923ASHC_10,,27.25465561,28236.67427,27.30704867,0.074094985,1290.463625
B08,FAM,,0923ASHC_18,,26.06728249,60203.52632,26.10726396,0.056542348,2116.130612
B09,FAM,,0923ASHC_18,,26.14724544,57210.86571,26.10726396,0.056542348,2116.130612
B10,FAM,,0923ASHC_26,,26.38940873,49025.09597,26.34265789,0.066115669,2129.633226
B11,FAM,,0923ASHC_26,,26.29590706,52036.85216,26.34265789,0.066115669,2129.633226
B12,FAM,,NTC-01,,NaN,NaN,0,0,0
C01,FAM,,Std-03,,21.77978267,1000000,21.84004971,0.054180321,0
C02,FAM,,Std-03,,21.85564292,1000000,21.84004971,0.054180321,0
C03,FAM,,Std-03,,21.88472353,1000000,21.84004971,0.054180321,0
C04,FAM,,0923ASHC_03,,31.26266183,2192.365774,31.32125361,0.082861295,111.6122405
C05,FAM,,0923ASHC_03,,31.37984539,2034.52223,31.32125361,0.082861295,111.6122405
C06,FAM,,0923ASHC_11,,26.51422304,45274.61506,26.33672914,0.251014287,8132.106754
C07,FAM,,0923ASHC_11,,26.15923523,56775.15073,26.33672914,0.251014287,8132.106754
C08,FAM,,0923ASHC_19,,28.01459396,17392.85034,28.00852495,0.008582876,95.55571515
C09,FAM,,0923ASHC_19,,28.00245594,17527.98653,28.00852495,0.008582876,95.55571515
C10,FAM,,0923ASHC_27,,26.57890903,43445.20651,26.36958545,0.296028255,9399.422422
C11,FAM,,0923ASHC_27,,26.16026186,56737.99718,26.36958545,0.296028255,9399.422422
C12,FAM,,NTC-01,,NaN,NaN,0,0,0
D01,FAM,,Std-04,,24.77870286,100000,24.84213699,0.069300252,0
D02,FAM,,Std-04,,24.83160943,100000,24.84213699,0.069300252,0
D03,FAM,,Std-04,,24.91609868,100000,24.84213699,0.069300252,0
D04,FAM,,0923ASHC_04,,23.47334789,314728.8315,23.52410658,0.07178362,13949.31642
D05,FAM,,0923ASHC_04,,23.57486526,295001.519,23.52410658,0.07178362,13949.31642
D06,FAM,,0923ASHC_12,,26.94946633,34302.5827,26.75842313,0.270175886,6691.479739
D07,FAM,,0923ASHC_12,,26.56737993,43765.7641,26.75842313,0.270175886,6691.479739
D08,FAM,,0923ASHC_20,,18.75541902,6374255.273,18.88447977,0.182519471,684006.8935
D09,FAM,,0923ASHC_20,,19.01354053,5406923.447,18.88447977,0.182519471,684006.8935
D10,FAM,,0923ASHC_28,,28.25454647,14925.29439,28.4875393,0.329501626,2712.861691
D11,FAM,,0923ASHC_28,,28.72053214,11088.72859,28.4875393,0.329501626,2712.861691
E01,FAM,,Std-05,,28.99263309,10000,29.01115366,0.040299102,0
E02,FAM,,Std-05,,28.98344423,10000,29.01115366,0.040299102,0
E03,FAM,,Std-05,,29.05738364,10000,29.01115366,0.040299102,0
E04,FAM,,0923ASHC_05,,24.88507271,127938.2711,24.917453,0.045792642,3659.583129
E05,FAM,,0923ASHC_05,,24.94983329,122762.839,24.917453,0.045792642,3659.583129
E06,FAM,,0923ASHC_13,,30.22019923,4261.795936,30.17639341,0.061950792,173.1402721
E07,FAM,,0923ASHC_13,,30.13258758,4506.653257,30.17639341,0.061950792,173.1402721
E08,FAM,,0923ASHC_21,,28.36667349,13895.4493,28.29406512,0.102683753,953.2517248
E09,FAM,,0923ASHC_21,,28.22145674,15243.55081,28.29406512,0.102683753,953.2517248
E10,FAM,,0923ASHC_29,,28.95066755,9575.301488,28.72155937,0.32400789,2297.565413
E11,FAM,,0923ASHC_29,,28.4924512,12824.54966,28.72155937,0.32400789,2297.565413
F01,FAM,,Std-06,,32.87061131,1000,32.79584315,0.068124025,0
F02,FAM,,Std-06,,32.73728893,1000,32.79584315,0.068124025,0
F03,FAM,,Std-06,,32.77962922,1000,32.79584315,0.068124025,0
F04,FAM,,0923ASHC_06,,30.86811852,2819.488222,30.93658513,0.096826414,166.6915569
F05,FAM,,0923ASHC_06,,31.00505175,2583.750761,30.93658513,0.096826414,166.6915569
F06,FAM,,0923ASHC_14,,26.95597319,34160.55629,26.94232151,0.019306399,424.212524
F07,FAM,,0923ASHC_14,,26.92866982,34760.4834,26.94232151,0.019306399,424.212524
F08,FAM,,0923ASHC_22,,28.26969816,14781.79203,28.10478404,0.233223776,2446.46781
F09,FAM,,0923ASHC_22,,27.93986993,18241.61998,28.10478404,0.233223776,2446.46781
F10,FAM,,0923ASHC_30,,25.19170214,105217.6004,25.36050851,0.238728257,14409.73023
F11,FAM,,0923ASHC_30,,25.52931488,84839.16444,25.36050851,0.238728257,14409.73023
G01,FAM,,Std-07,,36.01224259,100,36.09760765,0.218784346,0
G02,FAM,,Std-07,,36.34620569,100,36.09760765,0.218784346,0
G03,FAM,,Std-07,,35.93437469,100,36.09760765,0.218784346,0
G04,FAM,,0923ASHC_07,,31.32370819,2108.666995,31.26095144,0.088751459,124.2365599
G05,FAM,,0923ASHC_07,,31.19819468,2284.364023,31.26095144,0.088751459,124.2365599
G06,FAM,,0923ASHC_15,,26.38764418,49080.28688,26.35850499,0.041209042,1313.908756
G07,FAM,,0923ASHC_15,,26.3293658,50938.43447,26.35850499,0.041209042,1313.908756
G08,FAM,,0923ASHC_23,,33.00507954,721.7739451,32.73467139,0.382414878,210.1545214
G09,FAM,,0923ASHC_23,,32.46426323,1018.977319,32.73467139,0.382414878,210.1545214
H01,FAM,,Std-08,,39.01839643,10,39.47100034,0.640078591,0
H02,FAM,,Std-08,,39.92360425,10,39.47100034,0.640078591,0
H03,FAM,,Std-08,,NaN,10,0,0,0
H04,FAM,,0923ASHC_08,,28.50820348,12696.38223,28.60652387,0.139046029,1057.955553
H05,FAM,,0923ASHC_08,,28.70484426,11200.20714,28.60652387,0.139046029,1057.955553
H06,FAM,,0923ASHC_16,,35.44600614,152.2150888,35.30129952,0.204646067,21.81327226
H07,FAM,,0923ASHC_16,,35.1565929,183.0637143,35.30129952,0.204646067,21.81327226
H08,FAM,,0923ASHC_24,,29.6477044,6139.435112,29.50480224,0.202094173,867.8146149
H09,FAM,,0923ASHC_24,,29.36190008,7366.71031,29.50480224,0.202094173,867.8146149
A01,HEX,,Std-01,,15.08813111,100000000,15.24896249,0.145684963,0
A02,HEX,,Std-01,,15.37208718,100000000,15.24896249,0.145684963,0
A03,HEX,,Std-01,,15.28666919,100000000,15.24896249,0.145684963,0
A04,HEX,,0923ASHC_01,,NaN,NaN,0,0,0
A05,HEX,,0923ASHC_01,,NaN,NaN,0,0,0
A06,HEX,,0923ASHC_09,,NaN,NaN,0,0,0
A07,HEX,,0923ASHC_09,,NaN,NaN,0,0,0
A08,HEX,,0923ASHC_17,,NaN,NaN,0,0,0
A09,HEX,,0923ASHC_17,,NaN,NaN,0,0,0
A10,HEX,,0923ASHC_25,,NaN,NaN,0,0,0
A11,HEX,,0923ASHC_25,,NaN,NaN,0,0,0
A12,HEX,,NTC-01,,NaN,NaN,0,0,0
B01,HEX,,Std-02,,18.74781048,10000000,18.87789422,0.126951298,0
B02,HEX,,Std-02,,18.88441006,10000000,18.87789422,0.126951298,0
B03,HEX,,Std-02,,19.00146213,10000000,18.87789422,0.126951298,0
B04,HEX,,0923ASHC_02,,NaN,NaN,0,0,0
B05,HEX,,0923ASHC_02,,NaN,NaN,0,0,0
B06,HEX,,0923ASHC_10,,NaN,NaN,0,0,0
B07,HEX,,0923ASHC_10,,NaN,NaN,0,0,0
B08,HEX,,0923ASHC_18,,NaN,NaN,0,0,0
B09,HEX,,0923ASHC_18,,NaN,NaN,0,0,0
B10,HEX,,0923ASHC_26,,NaN,NaN,0,0,0
B11,HEX,,0923ASHC_26,,NaN,NaN,0,0,0
B12,HEX,,NTC-01,,NaN,NaN,0,0,0
C01,HEX,,Std-03,,22.10435462,1000000,22.16815809,0.05933901,0
C02,HEX,,Std-03,,22.17842753,1000000,22.16815809,0.05933901,0
C03,HEX,,Std-03,,22.22169211,1000000,22.16815809,0.05933901,0
C04,HEX,,0923ASHC_03,,NaN,NaN,0,0,0
C05,HEX,,0923ASHC_03,,NaN,NaN,0,0,0
C06,HEX,,0923ASHC_11,,NaN,NaN,0,0,0
C07,HEX,,0923ASHC_11,,NaN,NaN,0,0,0
C08,HEX,,0923ASHC_19,,NaN,NaN,0,0,0
C09,HEX,,0923ASHC_19,,NaN,NaN,0,0,0
C10,HEX,,0923ASHC_27,,NaN,NaN,0,0,0
C11,HEX,,0923ASHC_27,,NaN,NaN,0,0,0
C12,HEX,,NTC-01,,NaN,NaN,0,0,0
D01,HEX,,Std-04,,25.88989833,100000,25.87569144,0.019273559,0
D02,HEX,,Std-04,,25.85375246,100000,25.87569144,0.019273559,0
D03,HEX,,Std-04,,25.88342355,100000,25.87569144,0.019273559,0
D04,HEX,,0923ASHC_04,,NaN,NaN,0,0,0
D05,HEX,,0923ASHC_04,,NaN,NaN,0,0,0
D06,HEX,,0923ASHC_12,,NaN,NaN,0,0,0
D07,HEX,,0923ASHC_12,,NaN,NaN,0,0,0
D08,HEX,,0923ASHC_20,,NaN,NaN,0,0,0
D09,HEX,,0923ASHC_20,,NaN,NaN,0,0,0
D10,HEX,,0923ASHC_28,,39.69847259,9.339393416,39.69847259,0,0
D11,HEX,,0923ASHC_28,,NaN,NaN,0,0,0
E01,HEX,,Std-05,,29.75296098,10000,29.92917974,0.153496079,0
E02,HEX,,Std-05,,30.00081922,10000,29.92917974,0.153496079,0
E03,HEX,,Std-05,,30.03375902,10000,29.92917974,0.153496079,0
E04,HEX,,0923ASHC_05,,NaN,NaN,0,0,0
E05,HEX,,0923ASHC_05,,NaN,NaN,0,0,0
E06,HEX,,0923ASHC_13,,NaN,NaN,0,0,0
E07,HEX,,0923ASHC_13,,NaN,NaN,0,0,0
E08,HEX,,0923ASHC_21,,NaN,NaN,0,0,0
E09,HEX,,0923ASHC_21,,39.52838331,10.46246505,39.52838331,0,0
E10,HEX,,0923ASHC_29,,NaN,NaN,0,0,0
E11,HEX,,0923ASHC_29,,NaN,NaN,0,0,0
F01,HEX,,Std-06,,32.7848656,1000,32.84588688,0.145664244,0
F02,HEX,,Std-06,,32.74065743,1000,32.84588688,0.145664244,0
F03,HEX,,Std-06,,33.01213762,1000,32.84588688,0.145664244,0
F04,HEX,,0923ASHC_06,,NaN,NaN,0,0,0
F05,HEX,,0923ASHC_06,,NaN,NaN,0,0,0
F06,HEX,,0923ASHC_14,,NaN,NaN,0,0,0
F07,HEX,,0923ASHC_14,,NaN,NaN,0,0,0
F08,HEX,,0923ASHC_22,,NaN,NaN,0,0,0
F09,HEX,,0923ASHC_22,,NaN,NaN,0,0,0
F10,HEX,,0923ASHC_30,,NaN,NaN,0,0,0
F11,HEX,,0923ASHC_30,,NaN,NaN,0,0,0
G01,HEX,,Std-07,,36.05872343,100,35.99603715,0.563319548,0
G02,HEX,,Std-07,,35.40399647,100,35.99603715,0.563319548,0
G03,HEX,,Std-07,,36.52539156,100,35.99603715,0.563319548,0
G04,HEX,,0923ASHC_07,,NaN,NaN,0,0,0
G05,HEX,,0923ASHC_07,,NaN,NaN,0,0,0
G06,HEX,,0923ASHC_15,,NaN,NaN,0,0,0
G07,HEX,,0923ASHC_15,,NaN,NaN,0,0,0
G08,HEX,,0923ASHC_23,,NaN,NaN,0,0,0
G09,HEX,,0923ASHC_23,,NaN,NaN,0,0,0
H01,HEX,,Std-08,,39.17920708,10,39.08390173,0.134782118,0
H02,HEX,,Std-08,,NaN,10,0,0,0
H03,HEX,,Std-08,,38.98859638,10,39.08390173,0.134782118,0
H04,HEX,,0923ASHC_08,,NaN,NaN,0,0,0
H05,HEX,,0923ASHC_08,,NaN,NaN,0,0,0
H06,HEX,,0923ASHC_16,,NaN,NaN,0,0,0
H07,HEX,,0923ASHC_16,,NaN,NaN,0,0,0
H08,HEX,,0923ASHC_24,,NaN,NaN,0,0,0
H09,HEX,,0923ASHC_24,,NaN,NaN,0,0,0
