"Site","Date","Month","N","Shell_length","sd","se","ci","Days_between","H1","H2","monthly_growth_rate"
"ASHC",2024-06-10,6,443,29.5759367945824,11.5930754498164,0.55080363694113,1.0825194993932,NA,NA,29.5759367945824,NA
"ASHC",2024-07-10,7,134,42.1065671641791,8.20724181453319,0.708997706468629,1.4023699997787,30,29.5759367945824,42.1065671641791,12.5306303695967
"ASHC",2024-08-26,8,60,47.5065,8.81639417145358,1.13819159332133,2.2775161176149,47,42.1065671641791,47.5065,3.44676563988568
"ASHC",2024-09-23,9,47,55.4910638297872,10.6524316950439,1.55381685862948,3.1276711162621,28,47.5065,55.4910638297872,8.55488981762918
"ASHC",2024-10-21,10,42,59.5245238095238,10.96468259467,1.69188725562862,3.41683563010961,28,55.4910638297872,59.5245238095238,4.32156426400347
"ASHC",2024-11-13,11,40,63.1005,11.1082591010658,1.75636997993312,3.55259361063586,23,59.5245238095238,63.1005,4.66431677018633
"FENC",2024-06-10,6,443,29.5759367945824,11.5930754498164,0.55080363694113,1.0825194993932,NA,NA,29.5759367945824,NA
"FENC",2024-07-01,7,252,39.5300793650794,8.67711304699492,0.546606743341488,1.07652024094379,21,29.5759367945824,39.5300793650794,14.2202036721385
"FENC",2024-08-28,8,199,55.3333165829146,13.0013628677716,0.921642177645659,1.81749448262836,58,39.5300793650794,55.3333165829146,8.17408821612166
"FENC",2024-09-25,9,189,63.4511111111111,13.5685465963599,0.986966537275468,1.94695206671207,28,55.3333165829146,63.4511111111111,8.69763699449629
"FENC",2024-10-23,10,178,65.1592696629213,12.9589461725972,0.971314081235325,1.91684676862332,28,63.4511111111111,65.1592696629213,1.83016987693954
"FENC",2024-11-12,11,176,65.6061363636364,12.7548030555949,0.961429454779247,1.89748915324233,20,65.1592696629213,65.6061363636364,0.67030005107253
