"type","durationMinutes","startTime","endTime","startNum","endNum","eventpH"
"Extremely Severe",119.999999998254,"2024-06-23 07:00:00","2024-06-23 09:00:00",54.51313,54.51336,6.883734
"Extremely Severe",209.999999996944,"2024-06-27 08:30:00","2024-06-27 12:00:00",54.52426,54.52466,6.84708045
"Extremely Severe",119.999999998254,"2024-09-27 13:22:00","2024-09-27 15:22:00",54.77687,54.7771,6.8410124
"Severe",180.000000001115,"2024-06-22 05:30:00","2024-06-22 08:30:00",54.51022,54.51056,6.96373082857143
"Severe",240.000000000242,"2024-06-23 05:00:00","2024-06-23 09:00:00",54.5129,54.51336,6.90817675555556
"Severe",180.000000001115,"2024-06-24 06:00:00","2024-06-24 09:00:00",54.51575,54.5161,6.9550996
"Severe",269.999999999806,"2024-06-27 07:30:00","2024-06-27 12:00:00",54.52414,54.52466,6.86600913
"Severe",180.000000001115,"2024-06-27 21:30:00","2024-06-28 00:30:00",54.52574,54.52608,6.93986984285714
"Severe",89.9999999986903,"2024-06-29 00:30:00","2024-06-29 02:00:00",54.52882,54.529,6.99324735
"Severe",240.000000003977,"2024-07-01","2024-07-01 04:00:00",54.53425,54.5347,6.92428865555556
"Severe",149.999999997817,"2024-07-06 05:30:00","2024-07-06 08:00:00",54.54857,54.54886,6.92939646666667
"Severe",149.999999994083,"2024-07-06 17:30:00","2024-07-06 20:00:00",54.54994,54.55023,6.97250813333333
"Severe",179.999999997381,"2024-07-07 05:30:00","2024-07-07 08:30:00",54.55131,54.55166,6.94100071428571
"Severe",59.9999999953923,"2024-09-27 02:22:00","2024-09-27 03:22:00",54.77561,54.77573,6.96510443333333
"Severe",149.999999997817,"2024-09-27 12:52:00","2024-09-27 15:22:00",54.77681,54.7771,6.85661716666667
"Severe",150.000000001552,"2024-09-28 01:52:00","2024-09-28 04:22:00",54.7783,54.77858,6.91966923333333
"Moderately Severe",120.000000001988,"2024-06-10 08:00:00","2024-06-10 10:00:00",54.47763,54.47785,7.0564071
"Moderately Severe",59.9999999991269,"2024-06-11 08:30:00","2024-06-11 09:30:00",54.48042,54.48054,7.07806126666667
"Moderately Severe",59.9999999991269,"2024-06-12 09:00:00","2024-06-12 10:00:00",54.48322,54.48333,7.0854465
"Moderately Severe",119.999999998254,"2024-06-13 10:30:00","2024-06-13 12:30:00",54.48613,54.48636,7.0909867
"Moderately Severe",180.000000001115,"2024-06-14 10:30:00","2024-06-14 13:30:00",54.48887,54.48921,7.07412772857143
